tag	matrix	n	input_nnz	amd_flops	full_flops	seconds
FUNDED_ROW	ex8_1_7	14	46	137	128	0.145994
FUNDED_ROW	graphpart_3g-0333-0333	108	648	44928	36228	0.207113
FUNDED_ROW	slay05h	760	2080	9815	8795	0.291098
FUNDED_ROW	korcns	156	712	7241	6599	0.309207
FUNDED_ROW	powerflow0118p	5065	18730	121503	117327	0.540172
FUNDED_ROW	sfacloc2_3_80	4799	20600	84672	81119	0.584021
FUNDED_ROW	rsyn0820m04m	6028	17372	196890	152980	0.442124
FUNDED_ROW	hydroenergy1	1046	3024	14089	14089	0.241578
FUNDED_ROW	maxmin	181	1440	8405	8405	0.207055
FUNDED_ROW	st_ht	8	18	51	44	0.105352
FUNDED_ROW	crudeoil_lee2_06	6418	34646	23299675	16066186	0.681012
FUNDED_ROW	kan_r3_h1_n4	3183	14062	104945	98715	0.383719
FUNDED_ROW	primary	378	5610	109639	95258	0.267504
FUNDED_ROW	syn10m03hfsg	1071	2772	9890	9812	0.262633
FUNDED_ROW	wastewater02m1	36	138	848	790	0.211687
FUNDED_ROW	supplychainr1_022020	4620	15680	273140	273100	0.337963
FUNDED_ROW	squfl025-025persp	3800	11250	49925	49925	0.218451
FUNDED_ROW	ringpack_30_2	17999	121458	12394600	2873684	0.615129
FUNDED_ROW	nuclear104	39098	257806	103156931	78321564	0.797872
FUNDED_ROW	chp_shorttermplan1a	4952	15700	376486	299825	0.498156
FUNDED_ROW	rocket50	555	3488	19983	19265	0.394931
FUNDED_ROW	rsyn0840m04m	8508	24272	229914	185120	0.573838
FUNDED_ROW	mpbp_21	11716	37660	1691114	1456963	0.542030
FUNDED_ROW	orth_d4m6_pl	172	1096	10938	10703	0.234316
FUNDED_ROW	kall_circlespolygons_c1p5b	1681	7432	201759	193841	0.375911
FUNDED_ROW	acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	0.349366
FUNDED_ROW	ex1223	33	82	244	244	0.163414
FUNDED_ROW	ex6_1_4	10	48	197	153	0.152038
FUNDED_ROW	powerflow0014r	403	1630	10761	10361	0.297643
FUNDED_ROW	knp5-43	2065	31132	3517788	3517788	0.217331
FUNDED_ROW	gabriel09	21688	89702	29373994	26366112	0.532102
FUNDED_ROW	tln2	32	88	233	233	0.152229
FUNDED_ROW	prob02	22	76	267	232	0.175298
FUNDED_ROW	blend146	1422	4460	78102	64296	0.317976
FUNDED_ROW	mpbp_46	4518	14492	499547	447603	0.415951
FUNDED_ROW	tls6	413	2860	18483	17511	0.335892
FUNDED_ROW	emfl100_5_5	21925	52300	221650	221650	0.316298
FUNDED_ROW	qspp_0_11_0_1_10_1	341	44264	3563707	3531915	0.143396
FUNDED_ROW	p_ball_10b_5p_4d_m	403	1484	13581	13288	0.274871
FUNDED_ROW	st_rv9	90	840	6691	6321	0.245555
FUNDED_ROW	rsyn0840m02m	3486	9576	47529	44981	0.388147
FUNDED_ROW	nvs05	22	84	277	266	0.177370
FUNDED_ROW	autocorr_bern25-19	28	612	5278	5278	0.000005
FUNDED_ROW	sssd20-08persp	356	1232	4960	4960	0.286909
FUNDED_ROW	multiplants_stg5	827	3804	377794	155722	0.466198
FUNDED_ROW	chimera_rfr-02	2032	15140	3860441	2487302	0.516317
FUNDED_ROW	multiplants_stg1a	726	3510	142058	121443	0.456713
FUNDED_ROW	pooling_adhya4pq	170	932	24314	16556	0.242955
FUNDED_ROW	nuclear10a	17493	163816	82406325	55749125	0.599105
FUNDED_ROW	sonet24v5	874	7260	185654	110276	0.448371
FUNDED_ROW	transswitch2736spr	69651	331010	7933133	7281507	0.284504
FUNDED_ROW	chp_shorttermplan2a	8992	26288	821014	575282	0.435795
FUNDED_ROW	catmix200	1001	5592	18173	18164	0.246874
FUNDED_ROW	nvs23	27	252	1921	1221	0.000004
FUNDED_ROW	oaer	20	40	107	107	0.126693
FUNDED_ROW	hybriddynamic_fixed	168	388	1103	1103	0.193606
FUNDED_ROW	edgecross24-115	16747	77352	35096942	27626301	0.444606
FUNDED_ROW	space25	1178	4334	23567	22528	0.274297
FUNDED_ROW	methanol400	23999	151728	2586036	1864047	0.410924
FUNDED_ROW	pooling_foulds5tp	1218	8364	251833	171941	0.425115
FUNDED_ROW	pooling_sppa9tp	5040	121302	104609262	16877457	0.474757
FUNDED_ROW	st_miqp2	10	18	37	37	0.000002
FUNDED_ROW	autocorr_bern30-23	33	878	8940	8940	0.000007
FUNDED_ROW	mpbp_15	9858	31692	1496502	1167920	0.600260
FUNDED_ROW	cvxnonsep_psig30r	126	250	501	501	0.000004
FUNDED_ROW	rsyn0830hfsg	1590	4100	16168	15383	0.355126
FUNDED_ROW	crudeoil_pooling_ct1	1271	4642	125127	93863	0.451361
FUNDED_ROW	multiplants_stg1c	800	3894	150039	143020	0.457253
FUNDED_ROW	st_pan1	11	32	123	94	0.111759
FUNDED_ROW	multiplants_stg1b	814	3992	308612	187593	0.496695
FUNDED_ROW	methanol200	11999	76128	1290836	905945	0.488196
FUNDED_ROW	faclay35	26778	132380	33630126	32021838	0.461610
FUNDED_ROW	emfl050_5_5	13175	32300	155400	155400	0.213265
FUNDED_ROW	transswitch2383wpr	59853	277562	3946309	3861509	0.378695
FUNDED_ROW	chimera_lga-01	1120	6400	668019	497101	0.418458
FUNDED_ROW	gasprod_sarawak16	4596	15316	213850	196064	0.539409
FUNDED_ROW	crudeoil_lee4_09	15904	101792	208785578	129101152	0.738345
FUNDED_ROW	arki0013	44909	160172	390472987	150283404	0.744468
FUNDED_ROW	st_m1	42	432	3097	3097	0.170345
FUNDED_ROW	mpbp_47	5310	17098	730624	652248	0.547167
FUNDED_ROW	rsyn0815m	821	2242	8260	7745	0.375503
FUNDED_ROW	arki0016	7993	37208	878890	835794	0.755445
FUNDED_ROW	st_glmp_ss2	18	48	121	121	0.128046
FUNDED_ROW	rsyn0810m02hfsg	2670	6964	36862	34753	0.494454
FUNDED_ROW	pointpack06	55	276	1497	1497	0.177567
FUNDED_ROW	syn40m04hfsg	6328	16896	76232	73685	0.301085
FUNDED_ROW	clay0304m	258	840	2742	2742	0.257937
FUNDED_ROW	pooling_foulds5pq	1218	8300	159641	159641	0.340280
FUNDED_ROW	clay0305hfsg	1000	2910	12260	11240	0.360609
FUNDED_ROW	st_test8	64	232	2343	1964	0.240149
FUNDED_ROW	gams05	17364	252910	6179750712	3259322396	0.673015
FUNDED_ROW	sporttournament08	31	156	862	862	0.195619
FUNDED_ROW	powerflow0030p	1121	4194	24944	23642	0.324082
FUNDED_ROW	popdynm200	22407	105584	2567878	2436150	0.607353
FUNDED_ROW	mpbp_35	11120	40790	3037207	975441	0.565436
FUNDED_ROW	syn30m02m	1492	3936	13752	13455	0.348391
FUNDED_ROW	wastewater13m1	481	3252	60135	60068	0.296248
FUNDED_ROW	syn40hfsg	1022	2624	8432	8155	0.280954
FUNDED_ROW	sep1	69	206	1097	1047	0.173591
FUNDED_ROW	syn30m03m	2508	6804	26806	26552	0.377622
FUNDED_ROW	st_qpc-m3a	30	304	2330	1574	0.000004
FUNDED_ROW	crudeoil_pooling_ct3	2644	11426	1381490	866197	0.570189
FUNDED_ROW	space25a	634	3246	29078	27875	0.362702
FUNDED_ROW	autocorr_bern20-15	23	394	2784	2784	0.000005
FUNDED_ROW	ex7_2_1	35	134	352	341	0.201909
FUNDED_ROW	hydroenergy2	2092	6236	69051	56014	0.509678
FUNDED_ROW	pooling_digabel19	514	5340	325989	274903	0.323444
FUNDED_ROW	clay0203m	132	420	1348	1348	0.261334
FUNDED_ROW	squfl030-150	13680	36000	252605	252605	0.288032
