tag	matrix	n	input_nnz	amd_flops	failed_control_flops	reduced_flops	seconds
BATCH_RUNTIME_ROW	torsion50	2508	29808	1691033	1119054	1119054	0.379395
BATCH_RUNTIME_ROW	st_rv2	40	340	2045	2045	2045	0.204029
BATCH_RUNTIME_ROW	emfl100_3_3	6885	15948	55506	55506	55506	0.219131
BATCH_RUNTIME_ROW	pedigree_sim400	351	23546	1183471	1183168	1183168	0.000080
BATCH_RUNTIME_ROW	polygon75	5846	49652	1171822	1171822	1171822	0.000204
BATCH_RUNTIME_ROW	gabriel10	244056	1148210	1365442310	1267760679	1267760679	0.415628
BATCH_RUNTIME_ROW	fo9_ar25_1	1049	4336	41668	38237	38237	0.269542
BATCH_RUNTIME_ROW	rsyn0840m	1159	3168	11274	10602	10602	0.293077
BATCH_RUNTIME_ROW	gancns	548	2800	69234	58861	58861	0.365984
BATCH_RUNTIME_ROW	o9_ar4_1	1049	4336	41668	38237	38237	0.262358
BATCH_RUNTIME_ROW	ex1265a	123	560	3948	3750	3750	0.296551
BATCH_RUNTIME_ROW	ex9_2_6	28	68	190	190	190	0.143896
BATCH_RUNTIME_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	10097446	0.165616
BATCH_RUNTIME_ROW	slay04m	146	432	1554	1554	1554	0.213176
BATCH_RUNTIME_ROW	st_e25	20	92	336	262	262	0.000003
BATCH_RUNTIME_ROW	ex8_4_1	32	100	225	225	225	0.205405
BATCH_RUNTIME_ROW	st_e07	19	60	199	199	199	0.183274
BATCH_RUNTIME_ROW	ex1225	26	66	171	161	161	0.142162
BATCH_RUNTIME_ROW	ndcc13	969	5882	525212	324727	324727	0.440024
BATCH_RUNTIME_ROW	syn10m04m	1224	3384	13501	13473	13473	0.256343
BATCH_RUNTIME_ROW	ex5_2_4	18	62	204	193	193	0.173047
BATCH_RUNTIME_ROW	st_m2	72	1226	16331	16331	16331	0.207773
BATCH_RUNTIME_ROW	st_bpk1	16	44	115	108	108	0.125448
BATCH_RUNTIME_ROW	multiplants_stg1	736	3594	197998	155496	155496	0.454217
BATCH_RUNTIME_ROW	powerflow0300p	11251	41918	304705	292256	292256	0.572042
BATCH_RUNTIME_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	0.382848
BATCH_RUNTIME_ROW	sonet23v4	803	6462	139703	94348	94348	0.427756
BATCH_RUNTIME_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	1214182	0.345065
BATCH_RUNTIME_ROW	multiplants_mtg1b	645	4404	229415	152043	152043	0.449979
BATCH_RUNTIME_ROW	sssd18-08persp	338	1168	4654	4654	4654	0.277871
BATCH_RUNTIME_ROW	ex9_1_2	19	54	188	179	179	0.139463
BATCH_RUNTIME_ROW	crudeoil_lee1_07	3670	19322	4746188	3506452	3506464	0.598732
BATCH_RUNTIME_ROW	pooling_haverly1tp	31	96	423	403	403	0.189274
BATCH_RUNTIME_ROW	waterund08	230	1290	35284	30110	30110	0.230684
BATCH_RUNTIME_ROW	kall_diffcircles_6	76	302	1511	1511	1511	0.189432
BATCH_RUNTIME_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	0.391219
BATCH_RUNTIME_ROW	waterund11	160	828	14818	10705	10705	0.273722
BATCH_RUNTIME_ROW	chp_shorttermplan2d	16364	52108	4089003	1997381	1997381	0.539594
BATCH_RUNTIME_ROW	sporttournament18	156	886	17568	13608	13608	0.317538
BATCH_RUNTIME_ROW	cvxnonsep_psig30	30	870	9455	9455	9455	0.000005
BATCH_RUNTIME_ROW	ringpack_20_2	6089	40368	1872174	707413	707413	0.339923
BATCH_RUNTIME_ROW	blend718	1386	4310	70355	61466	61466	0.313462
BATCH_RUNTIME_ROW	wastepaper4	115	724	9711	7183	7183	0.289095
BATCH_RUNTIME_ROW	squfl010-040persp	2450	7200	22825	22825	22825	0.281019
BATCH_RUNTIME_ROW	crudeoil_lee4_06	10429	55492	65337120	32474991	32564806	0.691509
BATCH_RUNTIME_ROW	netmod_kar1	1746	4928	56838	43864	43864	0.440054
BATCH_RUNTIME_ROW	ex8_1_7	14	46	137	128	128	0.149191
BATCH_RUNTIME_ROW	graphpart_3g-0333-0333	108	648	44928	36228	36228	0.208339
BATCH_RUNTIME_ROW	slay05h	760	2080	9815	8795	8795	0.290904
BATCH_RUNTIME_ROW	korcns	156	712	7241	6599	6599	0.305342
BATCH_RUNTIME_ROW	powerflow0118p	5065	18730	121503	117327	117327	0.535166
BATCH_RUNTIME_ROW	sfacloc2_3_80	4799	20600	84672	81119	81119	0.570687
BATCH_RUNTIME_ROW	rsyn0820m04m	6028	17372	196890	152980	152980	0.439458
BATCH_RUNTIME_ROW	hydroenergy1	1046	3024	14089	14089	14089	0.240614
BATCH_RUNTIME_ROW	maxmin	181	1440	8405	8405	8405	0.201255
BATCH_RUNTIME_ROW	st_ht	8	18	51	44	44	0.107525
BATCH_RUNTIME_ROW	crudeoil_lee2_06	6418	34646	23299675	16066186	16292510	0.660551
BATCH_RUNTIME_ROW	kan_r3_h1_n4	3183	14062	104945	98715	98715	0.382740
BATCH_RUNTIME_ROW	primary	378	5610	109639	95258	95258	0.263790
BATCH_RUNTIME_ROW	syn10m03hfsg	1071	2772	9890	9812	9812	0.263454
BATCH_RUNTIME_ROW	wastewater02m1	36	138	848	790	790	0.212954
BATCH_RUNTIME_ROW	supplychainr1_022020	4620	15680	273140	273100	273100	0.336175
BATCH_RUNTIME_ROW	squfl025-025persp	3800	11250	49925	49925	49925	0.216993
BATCH_RUNTIME_ROW	ringpack_30_2	17999	121458	12394600	2873684	2873684	0.597537
BATCH_RUNTIME_ROW	nuclear104	39098	257806	103156931	78321564	78332024	0.730627
BATCH_RUNTIME_ROW	chp_shorttermplan1a	4952	15700	376486	299825	299825	0.491636
BATCH_RUNTIME_ROW	rocket50	555	3488	19983	19265	19265	0.391249
BATCH_RUNTIME_ROW	rsyn0840m04m	8508	24272	229914	185120	185120	0.569414
BATCH_RUNTIME_ROW	mpbp_21	11716	37660	1691114	1456963	1456963	0.539508
BATCH_RUNTIME_ROW	orth_d4m6_pl	172	1096	10938	10703	10703	0.231485
BATCH_RUNTIME_ROW	kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	0.376567
BATCH_RUNTIME_ROW	acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	0.342245
BATCH_RUNTIME_ROW	ex1223	33	82	244	244	244	0.164094
BATCH_RUNTIME_ROW	ex6_1_4	10	48	197	153	153	0.154197
BATCH_RUNTIME_ROW	powerflow0014r	403	1630	10761	10361	10361	0.294802
BATCH_RUNTIME_ROW	knp5-43	2065	31132	3517788	3517788	3517788	0.215503
BATCH_RUNTIME_ROW	gabriel09	21688	89702	29373994	26366112	26366112	0.521285
BATCH_RUNTIME_ROW	tln2	32	88	233	233	233	0.152142
BATCH_RUNTIME_ROW	prob02	22	76	267	232	232	0.176798
BATCH_RUNTIME_ROW	blend146	1422	4460	78102	64296	64296	0.314943
BATCH_RUNTIME_ROW	mpbp_46	4518	14492	499547	447603	447603	0.412368
BATCH_RUNTIME_ROW	tls6	413	2860	18483	17511	17511	0.334024
BATCH_RUNTIME_ROW	emfl100_5_5	21925	52300	221650	221650	221650	0.312438
BATCH_RUNTIME_ROW	qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	0.144257
BATCH_RUNTIME_ROW	p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	0.271821
BATCH_RUNTIME_ROW	st_rv9	90	840	6691	6321	6321	0.240694
BATCH_RUNTIME_ROW	rsyn0840m02m	3486	9576	47529	44981	44981	0.385604
BATCH_RUNTIME_ROW	nvs05	22	84	277	266	266	0.178701
BATCH_RUNTIME_ROW	autocorr_bern25-19	28	612	5278	5278	5278	0.000005
BATCH_RUNTIME_ROW	sssd20-08persp	356	1232	4960	4960	4960	0.283345
BATCH_RUNTIME_ROW	multiplants_stg5	827	3804	377794	155722	155722	0.463615
BATCH_RUNTIME_ROW	chimera_rfr-02	2032	15140	3860441	2487302	2487302	0.513030
BATCH_RUNTIME_ROW	multiplants_stg1a	726	3510	142058	121443	121443	0.454026
BATCH_RUNTIME_ROW	pooling_adhya4pq	170	932	24314	16556	16556	0.241136
BATCH_RUNTIME_ROW	nuclear10a	17493	163816	82406325	55749125	55754381	0.554812
BATCH_RUNTIME_ROW	sonet24v5	874	7260	185654	110276	110276	0.445906
BATCH_RUNTIME_ROW	transswitch2736spr	69651	331010	7933133	7281507	7281507	0.280629
BATCH_RUNTIME_ROW	chp_shorttermplan2a	8992	26288	821014	575282	575282	0.431867
BATCH_RUNTIME_ROW	catmix200	1001	5592	18173	18164	18164	0.247529
BATCH_RUNTIME_ROW	nvs23	27	252	1921	1221	1221	0.000004
BATCH_RUNTIME_ROW	oaer	20	40	107	107	107	0.128068
BATCH_RUNTIME_ROW	hybriddynamic_fixed	168	388	1103	1103	1103	0.192013
BATCH_RUNTIME_ROW	edgecross24-115	16747	77352	35096942	27626301	27626301	0.440661
BATCH_RUNTIME_ROW	space25	1178	4334	23567	22528	22528	0.273664
BATCH_RUNTIME_ROW	methanol400	23999	151728	2586036	1864047	1864047	0.397635
BATCH_RUNTIME_ROW	pooling_foulds5tp	1218	8364	251833	171941	171941	0.423483
BATCH_RUNTIME_ROW	pooling_sppa9tp	5040	121302	104609262	16877457	16877457	0.458931
BATCH_RUNTIME_ROW	st_miqp2	10	18	37	37	37	0.000001
