COMPACT_CORE_WORK	191	156	1381	8000000	0.002155	16611
COMPACT_ROW	wastepaper6	191	1416	16611	16611	16611	1511
COMPACT_CORE_WORK	399	221	718	8000000	0.002274	3272
COMPACT_ROW	syn15hfsg	399	1022	3300	3272	3272	1106
COMPACT_CORE_WORK	36	23	173	8000000	0.001933	1543
COMPACT_ROW	st_jcbpaf2	36	246	1635	1543	1543	199
COMPACT_ROW	camshape400	2000	7188	16768	16768	16768	5594
COMPACT_ROW	graphpart_clique-30	120	2790	114505	91153	91153	3027
COMPACT_ROW	graphpart_clique-70	280	14910	1413012	1144894	1144894	15796
COMPACT_ROW	smallinvDAXr1b010-011	39	1120	13510	13319	13319	599
COMPACT_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	273394	64374
COMPACT_CORE_WORK	240	100	405	8000000	0.002230	2635
COMPACT_ROW	slay05m	240	720	2635	2635	2635	745
COMPACT_CORE_WORK	2031	1517	85805	65399152	0.006225	2421342
COMPACT_ROW	chimera_selby-c16-01	2031	10964	3605628	2421342	2421342	50264
COMPACT_CORE_WORK	110	30	93	8000000	0.002397	975
COMPACT_ROW	csched1	110	376	975	975	975	323
COMPACT_ROW	watercontamination0303r	1310	37028	2171882	2171882	2171882	20194
COMPACT_ROW	ex9_2_4	15	36	117	117	117	41
COMPACT_CORE_WORK	163	47	201	8000000	0.002290	1625
COMPACT_ROW	sssd15-04	163	440	1625	1625	1625	497
COMPACT_ROW	autocorr_bern35-35fix	38	1264	16214	16214	16214	670
COMPACT_CORE_WORK	1491	775	3825	8000000	0.001905	28843
COMPACT_ROW	sfacloc2_4_90	1491	4500	31682	28843	28843	5335
COMPACT_ROW	cont6-qq	120395	557994	835894090	581918900	581918900	3410086
COMPACT_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	21935811	95007
COMPACT_CORE_WORK	10017	7609	46105	155738824	0.020342	327531
COMPACT_ROW	glider400	10017	49624	373018	327531	327531	54133
COMPACT_CORE_WORK	4960	2524	10013	13474736	0.002971	63265
COMPACT_ROW	syn40m04m	4960	13792	65982	63265	63265	15219
COMPACT_ROW	ex2_1_3	31	72	189	189	189	73
COMPACT_ROW	qapw	705	87496	12183146	12183146	12183146	69878
COMPACT_ROW	himmel11	14	60	198	198	198	48
COMPACT_CORE_WORK	1908	970	3870	8000000	0.001714	25061
COMPACT_ROW	syn15m04m	1908	5288	26094	25061	25061	5853
COMPACT_CORE_WORK	118	66	564	8000000	0.001920	5796
COMPACT_ROW	pooling_rt2tp	118	654	5876	5796	5796	708
COMPACT_ROW	waterund14	333	2204	200484	72184	72184	3330
COMPACT_ROW	crudeoil_lee4_10	17809	120632	294531623	184173410	184173410	690884
COMPACT_CORE_WORK	1294	723	7578	8000000	0.001355	138540
COMPACT_ROW	pooling_foulds4pq	1294	8302	138692	138540	138540	9768
COMPACT_CORE_WORK	3097	1639	19742	16790112	0.003799	1376964
COMPACT_ROW	edgecross14-156	3097	19664	1487933	1376964	1376964	22658
COMPACT_CORE_WORK	72	62	582	8000000	0.001982	7600
COMPACT_ROW	tspn08	72	668	11074	7600	7600	602
COMPACT_CORE_WORK	4225	2656	23676	30327168	0.006955	533531
COMPACT_ROW	crudeoil_li05	4225	14628	680022	533531	533531	25833
COMPACT_ROW	procurement1large	14416	41068	13858240	7376882	7376882	108978
COMPACT_CORE_WORK	1428	817	4967	8000000	0.001218	66143
COMPACT_ROW	blend721	1428	4548	77560	66143	66143	6157
COMPACT_CORE_WORK	2031	1484	73545	56160624	0.005243	2298935
COMPACT_ROW	chimera_selby-c16-02	2031	10878	4280329	2298935	2298935	48835
COMPACT_CORE_WORK	16640	9640	61180	240000000	0.057708	2173490
COMPACT_ROW	supplychainr1_053050	16640	57800	2173490	2173490	2173490	77190
COMPACT_CORE_WORK	5067	2567	12789	17012056	0.006223	88884
COMPACT_ROW	sfacloc2_4_80	5067	21424	93048	88884	88884	17868
COMPACT_ROW	st_e24	10	26	64	57	57	23
COMPACT_CORE_WORK	1053	571	5070	8000000	0.001560	143518
COMPACT_ROW	edgecross10-040	1053	5116	161851	143518	143518	6034
COMPACT_CORE_WORK	8232	4221	32571	62592768	0.017144	1585871
COMPACT_ROW	sonet21v6	8232	40744	1643311	1585871	1585871	40593
COMPACT_CORE_WORK	2490	890	3335	8000000	0.001997	27665
COMPACT_ROW	squfl010-080	2490	6400	27665	27665	27665	7335
COMPACT_CORE_WORK	221	145	1150	8000000	0.001797	14028
COMPACT_ROW	genpooling_lee2	221	1048	19895	14028	14028	1302
COMPACT_CORE_WORK	2807	2349	21098	24289888	0.003653	286812
COMPACT_ROW	popdynm25	2807	13904	360081	286812	286812	22528
COMPACT_CORE_WORK	5211	3349	24367	38766376	0.005901	373797
COMPACT_ROW	chp_partload	5211	16740	509170	373797	373797	28209
COMPACT_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	16038266	67194
COMPACT_ROW	st_glmp_ss1	24	66	160	160	160	60
COMPACT_ROW	torsion50	2508	29808	1691033	1119054	1119054	42300
COMPACT_CORE_WORK	40	30	235	8000000	0.002305	2045
COMPACT_ROW	st_rv2	40	340	2045	2045	2045	255
COMPACT_CORE_WORK	6885	2961	9180	14765904	0.006248	55506
COMPACT_ROW	emfl100_3_3	6885	15948	55506	55506	55506	18972
COMPACT_ROW	pedigree_sim400	351	23546	1183471	1183168	1183168	12124
COMPACT_ROW	polygon75	5846	49652	1171822	1171822	1171822	30672
COMPACT_ROW	gabriel10	244056	1148210	1365442310	1267760679	1267760679	4735821
COMPACT_CORE_WORK	1049	507	3660	8000000	0.001453	38237
COMPACT_ROW	fo9_ar25_1	1049	4336	41668	38237	38237	4747
COMPACT_CORE_WORK	1159	610	2153	8000000	0.001915	10602
COMPACT_ROW	rsyn0840m	1159	3168	11274	10602	10602	3316
COMPACT_CORE_WORK	548	284	3428	8000000	0.001820	58861
COMPACT_ROW	gancns	548	2800	69234	58861	58861	4041
COMPACT_CORE_WORK	1049	507	3660	8000000	0.001432	38237
COMPACT_ROW	o9_ar4_1	1049	4336	41668	38237	38237	4747
COMPACT_CORE_WORK	123	79	500	8000000	0.002258	3750
COMPACT_ROW	ex1265a	123	560	3948	3750	3750	588
COMPACT_ROW	ex9_2_6	28	68	190	190	190	70
COMPACT_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	10097446	49486
COMPACT_CORE_WORK	146	62	246	8000000	0.002483	1554
COMPACT_ROW	slay04m	146	432	1554	1554	1554	450
COMPACT_ROW	st_e25	20	92	336	262	262	66
COMPACT_CORE_WORK	32	12	33	8000000	0.001852	225
COMPACT_ROW	ex8_4_1	32	100	225	225	225	83
COMPACT_ROW	st_e07	19	60	199	199	199	59
COMPACT_ROW	ex1225	26	66	171	161	161	63
COMPACT_CORE_WORK	969	735	10921	8000000	0.000983	324727
COMPACT_ROW	ndcc13	969	5882	525212	324727	324727	12325
COMPACT_CORE_WORK	1224	620	2355	8000000	0.001902	13473
COMPACT_ROW	syn10m04m	1224	3384	13501	13473	13473	3639
COMPACT_ROW	ex5_2_4	18	62	204	193	193	55
COMPACT_ROW	st_m2	72	1226	16331	16331	16331	895
COMPACT_ROW	st_bpk1	16	44	115	108	108	40
COMPACT_CORE_WORK	736	482	6261	8000000	0.001866	155496
COMPACT_ROW	multiplants_stg1	736	3594	197998	155496	155496	6926
COMPACT_CORE_WORK	11251	6342	34471	100162160	0.018251	292101
COMPACT_ROW	powerflow0300p	11251	41918	304705	292101	292101	45391
COMPACT_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	101542
COMPACT_CORE_WORK	803	547	5731	8000000	0.001606	94348
COMPACT_ROW	sonet23v4	803	6462	139703	94348	94348	6246
COMPACT_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	1214182	31968
COMPACT_CORE_WORK	645	406	6342	8000000	0.001511	152043
COMPACT_ROW	multiplants_mtg1b	645	4404	229415	152043	152043	6901
COMPACT_CORE_WORK	338	138	598	8000000	0.002387	4654
COMPACT_ROW	sssd18-08persp	338	1168	4654	4654	4654	1142
COMPACT_ROW	ex9_1_2	19	54	188	179	179	57
COMPACT_CORE_WORK	3670	2815	51254	65667168	0.007553	3513213
COMPACT_ROW	crudeoil_lee1_07	3670	19322	4746188	3513213	3513213	52939
COMPACT_ROW	pooling_haverly1tp	31	96	423	403	403	105
COMPACT_CORE_WORK	230	145	1525	8000000	0.001657	30110
COMPACT_ROW	waterund08	230	1290	35284	30110	30110	1770
COMPACT_CORE_WORK	76	45	219	8000000	0.002039	1511
COMPACT_ROW	kall_diffcircles_6	76	302	1511	1511	1511	281
COMPACT_CORE_WORK	440	329	5155	8000000	0.001659	80090
COMPACT_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	5060
COMPACT_CORE_WORK	160	91	755	8000000	0.001945	10705
COMPACT_ROW	waterund11	160	828	14818	10705	10705	989
COMPACT_CORE_WORK	16364	8902	66114	240000000	0.034122	1997662
COMPACT_ROW	chp_shorttermplan2d	16364	52108	4089003	2104724	1997381	82190
COMPACT_CORE_WORK	156	136	1252	8000000	0.002548	13608
COMPACT_ROW	sporttournament18	156	886	17568	13608	13608	1328
COMPACT_ROW	cvxnonsep_psig30	30	870	9455	9455	9455	465
COMPACT_ROW	ringpack_20_2	6089	40368	1872174	707413	707413	36329
COMPACT_CORE_WORK	1386	808	4670	8000000	0.001450	61466
COMPACT_ROW	blend718	1386	4310	70355	61466	61466	5842
COMPACT_CORE_WORK	115	90	717	8000000	0.002494	7183
COMPACT_ROW	wastepaper4	115	724	9711	7183	7183	807
COMPACT_CORE_WORK	2450	850	3295	8000000	0.001617	22825
COMPACT_ROW	squfl010-040persp	2450	7200	22825	22825	22825	6895
COMPACT_ROW	crudeoil_lee4_06	10429	55492	65337120	32834025	32834025	235115
COMPACT_CORE_WORK	1746	732	4750	8000000	0.001474	43864
COMPACT_ROW	netmod_kar1	1746	4928	56838	43864	43864	6364
COMPACT_ROW	ex8_1_7	14	46	137	128	128	40
COMPACT_CORE_WORK	108	81	1486	8000000	0.001666	36228
COMPACT_ROW	graphpart_3g-0333-0333	108	648	44928	36228	36228	1594
COMPACT_CORE_WORK	760	330	1375	8000000	0.002050	8795
COMPACT_ROW	slay05h	760	2080	9815	8795	8795	2425
COMPACT_CORE_WORK	156	92	799	8000000	0.002578	6599
COMPACT_ROW	korcns	156	712	7241	6599	6599	887
COMPACT_CORE_WORK	5065	2810	15170	21207200	0.003954	117327
COMPACT_ROW	powerflow0118p	5065	18730	121503	117327	117327	20045
COMPACT_CORE_WORK	4799	2402	12180	15173440	0.003486	81119
COMPACT_ROW	sfacloc2_3_80	4799	20600	84672	81119	81119	16813
COMPACT_CORE_WORK	6028	3256	16260	26046048	0.004843	152980
COMPACT_ROW	rsyn0820m04m	6028	17372	196890	152980	152980	21916
COMPACT_CORE_WORK	1046	570	2457	8000000	0.001825	14089
COMPACT_ROW	hydroenergy1	1046	3024	14089	14089	14089	3435
COMPACT_ROW	maxmin	181	1440	8405	8405	8405	925
COMPACT_ROW	st_ht	8	18	51	44	44	18
COMPACT_ROW	crudeoil_lee2_06	6418	34646	23299675	16574163	16574163	134923
COMPACT_CORE_WORK	3183	2301	13292	15590848	0.003665	98715
COMPACT_ROW	kan_r3_h1_n4	3183	14062	104945	98715	98715	15597
COMPACT_ROW	primary	378	5610	109639	95258	95258	3428
COMPACT_CORE_WORK	1071	591	2014	8000000	0.001964	9812
COMPACT_ROW	syn10m03hfsg	1071	2772	9890	9812	9812	3040
COMPACT_CORE_WORK	36	24	117	8000000	0.002251	790
COMPACT_ROW	wastewater02m1	36	138	848	790	790	156
COMPACT_CORE_WORK	4620	2680	16100	21377920	0.004317	273100
COMPACT_ROW	supplychainr1_022020	4620	15680	273140	273100	273100	20540
COMPACT_CORE_WORK	3800	1300	5350	8000000	0.001382	49925
COMPACT_ROW	squfl025-025persp	3800	11250	49925	49925	49925	10975
COMPACT_ROW	ringpack_30_2	17999	121458	12394600	2873684	2873684	108470
COMPACT_ROW	nuclear104	39098	257806	103156931	78332024	78332024	523338
COMPACT_CORE_WORK	4952	2592	19284	24567456	0.006060	301258
COMPACT_ROW	chp_shorttermplan1a	4952	15700	376486	301258	301258	22620
COMPACT_CORE_WORK	555	450	2819	8000000	0.002015	19265
COMPACT_ROW	rocket50	555	3488	19983	19265	19265	3185
COMPACT_CORE_WORK	8508	4520	21328	46099200	0.011699	186241
COMPACT_ROW	rsyn0840m04m	8508	24272	229914	186241	186241	29583
COMPACT_CORE_WORK	11716	6945	56240	170467600	0.039840	1456963
COMPACT_ROW	mpbp_21	11716	37660	1691114	1456963	1456963	65805
COMPACT_CORE_WORK	172	92	719	8000000	0.001703	10703
COMPACT_ROW	orth_d4m6_pl	172	1096	10938	10703	10703	1019
COMPACT_CORE_WORK	1681	1245	10599	8000000	0.001115	193841
COMPACT_ROW	kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	11831
