name	n	nnz	amd	flops
edgecross24-115	16747	77352	35096942	27626301
space25	1178	4334	23567	22528
methanol400	23999	151728	2586036	1864047
pooling_foulds5tp	1218	8364	251833	171941
pooling_sppa9tp	5040	121302	104609262	16877457
st_miqp2	10	18	37	37
autocorr_bern30-23	33	878	8940	8940
mpbp_15	9858	31692	1496502	1167920
cvxnonsep_psig30r	126	250	501	501
rsyn0830hfsg	1590	4100	16168	15383
crudeoil_pooling_ct1	1271	4642	125127	93863
multiplants_stg1c	800	3894	150039	143020
st_pan1	11	32	123	94
multiplants_stg1b	814	3992	308612	187593
methanol200	11999	76128	1290836	905945
faclay35	26778	132380	33630126	32021838
emfl050_5_5	13175	32300	155400	155400
transswitch2383wpr	59853	277562	3946309	3861509
chimera_lga-01	1120	6400	668019	497101
gasprod_sarawak16	4596	15316	213850	196064
crudeoil_lee4_09	15904	101792	208785578	128640232
arki0013	44909	160172	390472987	150475002
st_m1	42	432	3097	3097
mpbp_47	5310	17098	730624	652248
rsyn0815m	821	2242	8260	7745
arki0016	7993	37208	878890	835794
st_glmp_ss2	18	48	121	121
rsyn0810m02hfsg	2670	6964	36862	34753
pointpack06	55	276	1497	1497
syn40m04hfsg	6328	16896	76232	73685
clay0304m	258	840	2742	2742
pooling_foulds5pq	1218	8300	159641	159641
clay0305hfsg	1000	2910	12260	11240
st_test8	64	232	2343	1964
gams05	17364	252910	6179750712	3259322396
sporttournament08	31	156	862	862
powerflow0030p	1121	4194	24944	23642
popdynm200	22407	105584	2567878	2436690
mpbp_35	11120	40790	3037207	975441
syn30m02m	1492	3936	13752	13455
wastewater13m1	481	3252	60135	60068
syn40hfsg	1022	2624	8432	8155
sep1	69	206	1097	1047
syn30m03m	2508	6804	26806	26552
st_qpc-m3a	30	304	2330	1574
crudeoil_pooling_ct3	2644	11426	1381490	866197
space25a	634	3246	29078	27875
autocorr_bern20-15	23	394	2784	2784
ex7_2_1	35	134	352	341
hydroenergy2	2092	6236	69051	56014
pooling_digabel19	514	5340	325989	274903
clay0203m	132	420	1348	1348
squfl030-150	13680	36000	252605	252605
