name	n	nnz	AMD_flops	parent_flops	candidate_flops	parent_factor_nnz
multiplants_stg5	827	3804	377794	155722	155722	7440
chimera_rfr-02	2032	15140	3860441	2487310	2487310	51728
multiplants_stg1a	726	3510	142058	121443	121443	6211
pooling_adhya4pq	170	932	24314	16556	16556	1362
nuclear10a	17493	163816	82406325	55754381	55754381	365783
sonet24v5	874	7260	185654	110276	110276	7010
transswitch2736spr	69651	331010	7933133	7281507	7281507	439563
chp_shorttermplan2a	8992	26288	821014	576395	576395	38347
catmix200	1001	5592	18173	18164	18164	4196
nvs23	27	252	1921	1221	1221	153
oaer	20	40	107	107	107	45
hybriddynamic_fixed	168	388	1103	1103	1103	421
edgecross24-115	16747	77352	35096942	28685704	28685704	161504
space25	1178	4334	23567	22528	22528	4186
methanol400	23999	151728	2586036	1864047	1864047	186271
pooling_foulds5tp	1218	8364	251833	171941	171941	9811
pooling_sppa9tp	5040	121302	104609262	16877457	16877457	158869
st_miqp2	10	18	37	37	37	19
autocorr_bern30-23	33	878	8940	8940	8940	472
mpbp_15	9858	31692	1496502	1185325	1185325	56119
cvxnonsep_psig30r	126	250	501	501	501	251
rsyn0830hfsg	1590	4100	16168	15383	15383	4687
crudeoil_pooling_ct1	1271	4642	125127	93863	93863	7323
multiplants_stg1c	800	3894	150039	143020	143020	6946
st_pan1	11	32	123	94	94	30
multiplants_stg1b	814	3992	308612	187593	187593	7725
methanol200	11999	76128	1290836	905945	905945	92103
faclay35	26778	132380	33630126	32021838	32021838	204090
emfl050_5_5	13175	32300	155400	155400	155400	38550
transswitch2383wpr	59853	277562	3946309	3861509	3861509	332327
chimera_lga-01	1120	6400	668019	497101	497101	15989
gasprod_sarawak16	4596	15316	213850	196064	196064	22604
crudeoil_lee4_09	15904	101792	208785578	130655525	130655525	559733
arki0013	44909	160172	390472987	157005417	157005417	695571
st_m1	42	432	3097	3097	3097	313
mpbp_47	5310	17098	730624	652248	652248	30546
rsyn0815m	821	2242	8260	7745	7745	2365
arki0016	7993	37208	878890	835803	835803	47535
st_glmp_ss2	18	48	121	121	121	45
rsyn0810m02hfsg	2670	6964	36862	34753	34753	8593
pointpack06	55	276	1497	1497	1497	241
syn40m04hfsg	6328	16896	76232	73685	73685	18919
clay0304m	258	840	2742	2742	2742	798
pooling_foulds5pq	1218	8300	159641	159641	159641	9583
clay0305hfsg	1000	2910	12260	11240	11240	3160
st_test8	64	232	2343	1964	1964	316
gams05	17364	252910	6179750712	3259322396	3259322396	3290984
sporttournament08	31	156	862	862	862	154
powerflow0030p	1121	4194	24944	23642	23642	4378
popdynm200	22407	105584	2567878	2436690	2436690	185112
mpbp_35	11120	40790	3037207	976558	976558	63274
syn30m02m	1492	3936	13752	13455	13455	4221
wastewater13m1	481	3252	60135	60068	60068	3560
syn40hfsg	1022	2624	8432	8155	8155	2807
sep1	69	206	1097	1047	1047	249
syn30m03m	2508	6804	26806	26552	26552	7404
st_qpc-m3a	30	304	2330	1574	1574	182
crudeoil_pooling_ct3	2644	11426	1381490	866223	865127	26611
space25a	634	3246	29078	27875	27875	3349
autocorr_bern20-15	23	394	2784	2784	2784	220
ex7_2_1	35	134	352	341	341	103
hydroenergy2	2092	6236	69051	56014	56014	8284
pooling_digabel19	514	5340	325989	274903	274903	8765
clay0203m	132	420	1348	1348	1348	402
squfl030-150	13680	36000	252605	252605	252605	41115
