tag	matrix	n	factor_nnz	seed_flops	old_seconds	new_seconds	old_peo_recon	new_peo_recon	old_lex_calls	new_lex_calls
STATE_GATE_COST_ROW	rsyn0840m	1159	3316	10602	0.000581	0.000223	1	0	1	0
STATE_GATE_COST_ROW	gancns	548	4041	58861	0.000420	0.000140	1	0	1	0
STATE_GATE_COST_ROW	o9_ar4_1	1049	4747	38237	0.000568	0.000210	1	0	1	0
STATE_GATE_COST_ROW	ex1265a	123	588	3750	0.000072	0.000024	1	0	1	0
STATE_GATE_COST_ROW	ex9_2_6	28	70	190	0.000015	0.000005	1	0	1	0
STATE_GATE_COST_ROW	qspp_0_13_0_1_10_1	481	49486	10097446	0.005410	0.002156	1	0	1	0
STATE_GATE_COST_ROW	slay04m	146	450	1554	0.000064	0.000023	1	0	1	0
STATE_GATE_COST_ROW	st_e25	20	66	262	0.000013	0.000004	1	0	1	0
STATE_GATE_COST_ROW	ex8_4_1	32	83	225	0.000016	0.000005	1	0	1	0
STATE_GATE_COST_ROW	st_e07	19	59	199	0.000011	0.000004	1	0	1	0
STATE_GATE_COST_ROW	ex1225	26	63	161	0.000013	0.000004	1	0	1	0
STATE_GATE_COST_ROW	ndcc13	969	12325	324727	0.000785	0.000265	1	0	1	0
STATE_GATE_COST_ROW	syn10m04m	1224	3639	13473	0.000582	0.000215	1	0	1	0
STATE_GATE_COST_ROW	ex5_2_4	18	55	193	0.000011	0.000003	1	0	1	0
STATE_GATE_COST_ROW	st_m2	72	895	16331	0.000087	0.000030	1	0	1	0
STATE_GATE_COST_ROW	st_bpk1	16	40	108	0.000009	0.000003	1	0	1	0
STATE_GATE_COST_ROW	multiplants_stg1	736	6926	155496	0.000590	0.000212	1	0	1	0
STATE_GATE_COST_ROW	powerflow0300p	11251	45418	292256	0.008273	0.003211	1	0	1	0
STATE_GATE_COST_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	101542	885186	0.018686	0.008058	1	0	1	0
STATE_GATE_COST_ROW	sonet23v4	803	6246	94348	0.000645	0.000229	1	0	1	0
STATE_GATE_COST_ROW	pooling_sppa0pq	1649	31968	1214182	0.002214	0.000776	1	0	1	0
STATE_GATE_COST_ROW	multiplants_mtg1b	645	6901	152043	0.000550	0.000186	1	0	1	0
STATE_GATE_COST_ROW	sssd18-08persp	338	1142	4654	0.000163	0.000060	1	0	1	0
STATE_GATE_COST_ROW	ex9_1_2	19	57	179	0.000012	0.000004	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_lee1_07	3670	52882	3506452	0.003890	0.001325	1	0	1	0
STATE_GATE_COST_ROW	pooling_haverly1tp	31	105	403	0.000017	0.000006	1	0	1	0
STATE_GATE_COST_ROW	waterund08	230	1770	30110	0.000153	0.000052	1	0	1	0
STATE_GATE_COST_ROW	kall_diffcircles_6	76	281	1511	0.000041	0.000014	1	0	1	0
STATE_GATE_COST_ROW	chimera_mgw-c8-439-onc8-001	440	5060	80090	0.000387	0.000128	1	0	1	0
STATE_GATE_COST_ROW	waterund11	160	989	10705	0.000106	0.000035	1	0	1	0
STATE_GATE_COST_ROW	chp_shorttermplan2d	16364	81473	1997381	0.011318	0.004466	1	0	1	0
STATE_GATE_COST_ROW	sporttournament18	156	1328	13608	0.000115	0.000036	1	0	1	0
STATE_GATE_COST_ROW	cvxnonsep_psig30	30	465	9455	0.000048	0.000016	1	0	1	0
STATE_GATE_COST_ROW	ringpack_20_2	6089	36329	707413	0.004416	0.001708	1	0	1	0
STATE_GATE_COST_ROW	blend718	1386	5842	61466	0.000766	0.000295	1	0	1	0
STATE_GATE_COST_ROW	wastepaper4	115	807	7183	0.000078	0.000026	1	0	1	0
STATE_GATE_COST_ROW	squfl010-040persp	2450	6895	22825	0.001132	0.000450	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_lee4_06	10429	233773	32474991	0.034410	0.034320	4	4	1	1
STATE_GATE_COST_ROW	netmod_kar1	1746	6364	43864	0.000898	0.000329	1	0	1	0
STATE_GATE_COST_ROW	ex8_1_7	14	40	128	0.000018	0.000003	1	0	1	0
STATE_GATE_COST_ROW	graphpart_3g-0333-0333	108	1594	36228	0.000106	0.000029	1	0	1	0
STATE_GATE_COST_ROW	slay05h	760	2425	8795	0.000344	0.000127	1	0	1	0
STATE_GATE_COST_ROW	korcns	156	887	6599	0.000099	0.000032	1	0	1	0
STATE_GATE_COST_ROW	powerflow0118p	5065	20045	117327	0.003211	0.001272	1	0	1	0
STATE_GATE_COST_ROW	sfacloc2_3_80	4799	16813	81119	0.002791	0.001082	1	0	1	0
STATE_GATE_COST_ROW	rsyn0820m04m	6028	21916	152980	0.003602	0.001415	1	0	1	0
STATE_GATE_COST_ROW	hydroenergy1	1046	3435	14089	0.000499	0.000198	1	0	1	0
STATE_GATE_COST_ROW	maxmin	181	925	8405	0.000126	0.000046	1	0	1	0
STATE_GATE_COST_ROW	st_ht	8	18	44	0.000006	0.000002	1	0	1	0
STATE_GATE_COST_ROW	crudeoil_lee2_06	6418	133378	16066186	0.008632	0.003094	1	0	1	0
STATE_GATE_COST_ROW	kan_r3_h1_n4	3183	15597	98715	0.001908	0.000763	1	0	1	0
STATE_GATE_COST_ROW	primary	378	3428	95258	0.000421	0.000148	1	0	1	0
STATE_GATE_COST_ROW	syn10m03hfsg	1071	3040	9812	0.000547	0.000197	1	0	1	0
STATE_GATE_COST_ROW	wastewater02m1	36	156	790	0.000021	0.000007	1	0	1	0
STATE_GATE_COST_ROW	supplychainr1_022020	4620	20540	273100	0.002479	0.000979	1	0	1	0
STATE_GATE_COST_ROW	squfl025-025persp	3800	10975	49925	0.001889	0.000778	1	0	1	0
STATE_GATE_COST_ROW	ringpack_30_2	17999	108470	2873684	0.013717	0.005388	1	0	1	0
STATE_GATE_COST_ROW	nuclear104	39098	523276	78321564	0.037981	0.013997	1	0	1	0
STATE_GATE_COST_ROW	chp_shorttermplan1a	4952	22589	299825	0.003126	0.001202	1	0	1	0
STATE_GATE_COST_ROW	rocket50	555	3185	19265	0.000369	0.000133	1	0	1	0
STATE_GATE_COST_ROW	rsyn0840m04m	8508	29560	185120	0.005403	0.002034	1	0	1	0
STATE_GATE_COST_ROW	mpbp_21	11716	65805	1456963	0.007046	0.002814	1	0	1	0
STATE_GATE_COST_ROW	orth_d4m6_pl	172	1019	10703	0.000114	0.000039	1	0	1	0
STATE_GATE_COST_ROW	kall_circlespolygons_c1p5b	1681	11831	193841	0.001104	0.000400	1	0	1	0
STATE_GATE_COST_ROW	acopf_case9241pegase_qcqp	313068	1988065	33736789	0.000000	0.000000	0	0	0	0
STATE_GATE_COST_ROW	ex1223	33	86	244	0.000017	0.000005	1	0	1	0
STATE_GATE_COST_ROW	ex6_1_4	10	37	153	0.000008	0.000003	1	0	1	0
STATE_GATE_COST_ROW	powerflow0014r	403	1783	10361	0.000232	0.000083	1	0	1	0
STATE_GATE_COST_ROW	knp5-43	2065	36336	3517788	0.002555	0.000955	1	0	1	0
STATE_GATE_COST_ROW	gabriel09	21688	228634	26366112	0.016881	0.006601	1	0	1	0
STATE_GATE_COST_ROW	tln2	32	83	233	0.000017	0.000005	1	0	1	0
STATE_GATE_COST_ROW	prob02	22	66	232	0.000013	0.000004	1	0	1	0
STATE_GATE_COST_ROW	blend146	1422	6042	64296	0.000766	0.000279	1	0	1	0
STATE_GATE_COST_ROW	mpbp_46	4518	24571	447603	0.002711	0.001022	1	0	1	0
STATE_GATE_COST_ROW	tls6	413	2429	17511	0.000278	0.000098	1	0	1	0
STATE_GATE_COST_ROW	emfl100_5_5	21925	62300	221650	0.011703	0.004869	1	0	1	0
STATE_GATE_COST_ROW	qspp_0_11_0_1_10_1	341	24763	3531915	0.002911	0.001113	1	0	1	0
STATE_GATE_COST_ROW	p_ball_10b_5p_4d_m	403	1736	13288	0.000199	0.000070	1	0	1	0
STATE_GATE_COST_ROW	st_rv9	90	679	6321	0.000072	0.000025	1	0	1	0
STATE_GATE_COST_ROW	rsyn0840m02m	3486	10989	44981	0.001907	0.000749	1	0	1	0
STATE_GATE_COST_ROW	nvs05	22	72	266	0.000014	0.000004	1	0	1	0
STATE_GATE_COST_ROW	autocorr_bern25-19	28	334	5278	0.000038	0.000012	1	0	1	0
STATE_GATE_COST_ROW	sssd20-08persp	356	1208	4960	0.000170	0.000062	1	0	1	0
STATE_GATE_COST_ROW	multiplants_stg5	827	7440	155722	0.000630	0.000225	1	0	1	0
STATE_GATE_COST_ROW	chimera_rfr-02	2032	51728	2487302	0.003339	0.001070	1	0	1	0
STATE_GATE_COST_ROW	multiplants_stg1a	726	6211	121443	0.000535	0.000187	1	0	1	0
STATE_GATE_COST_ROW	pooling_adhya4pq	170	1362	16556	0.000115	0.000038	1	0	1	0
STATE_GATE_COST_ROW	nuclear10a	17493	365737	55749125	0.021445	0.007755	1	0	1	0
STATE_GATE_COST_ROW	sonet24v5	874	7010	110276	0.000704	0.000248	1	0	1	0
