name	n	nnz	amd_flops	control05_flops	final_flops	control05_factor_nnz	added_screen_seconds
supplychainr1_053050	16640	57800	2173490	2173490	2173490	77190	0.010323
sfacloc2_4_80	5067	21424	93048	88884	88884	17868	0.002950
st_e24	10	26	64	57	57	23	0.000010
edgecross10-040	1053	5116	161851	143518	143518	6034	0.000843
sonet21v6	8232	40744	1643311	1585871	1585871	40593	0.006003
squfl010-080	2490	6400	27665	27665	27665	7335	0.001033
genpooling_lee2	221	1048	19895	14028	14028	1302	0.000190
popdynm25	2807	13904	360081	286812	286812	22528	0.003042
chp_partload	5211	16740	509170	373797	373797	28209	0.004587
qspp_0_14_0_1_10_1	560	120274	16119226	16038266	16038266	67194	0.000000
st_glmp_ss1	24	66	160	160	160	60	0.000019
torsion50	2508	29808	1691033	1119054	1119054	42300	0.005056
st_rv2	40	340	2045	2045	2045	255	0.000043
emfl100_3_3	6885	15948	55506	55506	55506	18972	0.002995
pedigree_sim400	351	23546	1183471	1183168	1183168	12124	0.001427
polygon75	5846	49652	1171822	1171822	1171822	30672	0.004365
gabriel10	244056	1148210	1365442310	1267760679	1267760679	4735821	0.000000
fo9_ar25_1	1049	4336	41668	38237	38237	4747	0.000638
rsyn0840m	1159	3168	11274	10602	10602	3316	0.000611
gancns	548	2800	69234	58861	58861	4041	0.000616
o9_ar4_1	1049	4336	41668	38237	38237	4747	0.000625
ex1265a	123	560	3948	3750	3750	588	0.000093
ex9_2_6	28	68	190	190	190	70	0.000020
qspp_0_13_0_1_10_1	481	88522	10150185	10097446	10097446	49486	0.000000
slay04m	146	432	1554	1554	1554	450	0.000073
st_e25	20	92	336	262	262	66	0.000016
ex8_4_1	32	100	225	225	225	83	0.000019
st_e07	19	60	199	199	199	59	0.000015
ex1225	26	66	171	161	161	63	0.000017
ndcc13	969	5882	525212	324727	324727	12325	0.001337
syn10m04m	1224	3384	13501	13473	13473	3639	0.000637
ex5_2_4	18	62	204	193	193	55	0.000016
st_m2	72	1226	16331	16331	16331	895	0.000116
st_bpk1	16	44	115	108	108	40	0.000012
multiplants_stg1	736	3594	197998	155496	155496	6926	0.000881
powerflow0300p	11251	41918	304705	292101	292049	45391	0.012492
nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	101542	0.000000
sonet23v4	803	6462	139703	94348	94348	6246	0.000801
pooling_sppa0pq	1649	24192	3745896	1214182	1214182	31968	0.003676
multiplants_mtg1b	645	4404	229415	152043	152043	6901	0.000867
sssd18-08persp	338	1168	4654	4654	4654	1142	0.000167
ex9_1_2	19	54	188	179	179	57	0.000016
crudeoil_lee1_07	3670	19322	4746188	3513213	3512781	52939	0.011485
pooling_haverly1tp	31	96	423	403	403	105	0.000025
waterund08	230	1290	35284	30110	30110	1770	0.000217
kall_diffcircles_6	76	302	1511	1511	1511	281	0.000052
chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	5060	0.000644
waterund11	160	828	14818	10705	10705	989	0.000149
chp_shorttermplan2d	16364	52108	4089003	1997381	1997381	81473	0.012585
sporttournament18	156	886	17568	13608	13608	1328	0.000182
cvxnonsep_psig30	30	870	9455	9455	9455	465	0.000061
ringpack_20_2	6089	40368	1872174	707413	707413	36329	0.005089
blend718	1386	4310	70355	61466	61466	5842	0.000857
wastepaper4	115	724	9711	7183	7183	807	0.000110
squfl010-040persp	2450	7200	22825	22825	22825	6895	0.001011
crudeoil_lee4_06	10429	55492	65337120	32834025	32834025	235115	0.000000
netmod_kar1	1746	4928	56838	43864	43864	6364	0.000946
ex8_1_7	14	46	137	128	128	40	0.000014
graphpart_3g-0333-0333	108	648	44928	36228	36228	1594	0.000189
slay05h	760	2080	9815	8795	8795	2425	0.000349
korcns	156	712	7241	6599	6599	887	0.000146
powerflow0118p	5065	18730	121503	117327	117327	20045	0.003391
sfacloc2_3_80	4799	20600	84672	81119	81119	16813	0.002713
rsyn0820m04m	6028	17372	196890	152980	152980	21916	0.003962
hydroenergy1	1046	3024	14089	14089	14089	3435	0.000523
maxmin	181	1440	8405	8405	8405	925	0.000144
st_ht	8	18	51	44	44	18	0.000010
crudeoil_lee2_06	6418	34646	23299675	16574163	16449263	134923	0.032265
kan_r3_h1_n4	3183	14062	104945	98715	98715	15597	0.002095
primary	378	5610	109639	95258	95258	3428	0.000512
syn10m03hfsg	1071	2772	9890	9812	9812	3040	0.000577
wastewater02m1	36	138	848	790	790	156	0.000034
supplychainr1_022020	4620	15680	273140	273100	273100	20540	0.002677
squfl025-025persp	3800	11250	49925	49925	49925	10975	0.001651
ringpack_30_2	17999	121458	12394600	2873684	2873684	108470	0.000000
nuclear104	39098	257806	103156931	78332024	78332024	523338	0.000000
chp_shorttermplan1a	4952	15700	376486	301258	301258	22620	0.003440
rocket50	555	3488	19983	19265	19265	3185	0.000443
rsyn0840m04m	8508	24272	229914	186241	186241	29583	0.005199
mpbp_21	11716	37660	1691114	1456963	1456963	65805	0.008977
orth_d4m6_pl	172	1096	10938	10703	10703	1019	0.000152
kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	11831	0.001513
acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	1988065	0.000000
ex1223	33	82	244	244	244	86	0.000028
ex6_1_4	10	48	197	153	153	37	0.000013
powerflow0014r	403	1630	10761	10361	10361	1783	0.000284
knp5-43	2065	31132	3517788	3517788	3517788	36336	0.003842
gabriel09	21688	89702	29373994	26366112	26366112	228634	0.000000
tln2	32	88	233	233	233	83	0.000022
prob02	22	76	267	232	232	66	0.000017
blend146	1422	4460	78102	64296	64296	6042	0.000879
mpbp_46	4518	14492	499547	447643	447643	24571	0.003311
tls6	413	2860	18483	17511	17511	2429	0.000355
emfl100_5_5	21925	52300	221650	221650	221650	62300	0.000000
qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	24763	0.003614
p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	1736	0.000240
st_rv9	90	840	6691	6321	6321	679	0.000093
rsyn0840m02m	3486	9576	47529	44981	44981	10989	0.002018
nvs05	22	84	277	266	266	72	0.000021
autocorr_bern25-19	28	612	5278	5278	5278	334	0.000053
sssd20-08persp	356	1232	4960	4960	4960	1208	0.000184
multiplants_stg5	827	3804	377794	155722	155722	7440	0.000946
chimera_rfr-02	2032	15140	3860441	2487310	2487310	51728	0.006152
multiplants_stg1a	726	3510	142058	121443	121443	6211	0.000771
pooling_adhya4pq	170	932	24314	16556	16556	1362	0.000178
nuclear10a	17493	163816	82406325	55754381	55754381	365783	0.000000
sonet24v5	874	7260	185654	110276	110276	7010	0.000915
transswitch2736spr	69651	331010	7933133	7281507	7281507	439563	0.000000
chp_shorttermplan2a	8992	26288	821014	576395	576395	38347	0.005622
catmix200	1001	5592	18173	18164	18164	4196	0.000577
