probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
ringpack_20_2	6089	40368	0.3547	0.3779	0.0186	0.9683	0.0193	1.8743	0.0423	0.9245	0.0437	1.4657	0.0097	2.0790	0.0100	2.0827	0.0098	2.2438	0.0098	2.2385	0.0096	2.1701	0.0094	2.1940	0.0099	2.1701	0.0123	2.2735
blend718	1386	4310	0.3116	0.8737	0.0019	1.9209	0.0022	2.7494	0.0060	3.0365	0.0072	2.7491	0.0023	3.0554	0.0026	2.7555	0.0021	3.2330	0.0021	2.8209	0.0026	3.0354	0.0018	2.1781	0.0023	2.3405	0.0029	3.9990
wastepaper4	115	724	0.2814	0.7397	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0005	1.5021	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.3677	0.0000	1.0000	0.0000	1.0000	0.0001	1.0000
squfl010-040persp	2450	7200	0.3991	1.0000	0.0028	3.4071	0.0044	7.8447	0.0072	3.0994	0.0073	3.1803	0.0013	2.1257	0.0026	2.9165	0.0014	2.8375	0.0014	2.9063	0.0014	2.8482	0.0014	2.8482	0.0014	2.8482	0.0031	2.5990
crudeoil_lee4_06	10429	55492	0.9284	0.5043	0.0597	1.3881	0.0621	1.8006	0.1596	1.7243	0.1695	1.6952	0.0288	1.3110	0.0296	1.6077	0.0268	0.9882	0.0252	1.1031	0.0309	1.3777	0.0265	1.5183	0.0280	1.4299	0.0413	1.4486
netmod_kar1	1746	4928	0.4972	0.7717	0.0036	2.6173	0.0035	2.4116	0.0069	3.3351	0.0095	3.3683	0.0017	3.5871	0.0027	2.3361	0.0026	2.5513	0.0026	2.9007	0.0034	2.8046	0.0020	2.4400	0.0027	2.7806	0.0032	2.6880
ex8_1_7	14	46	0.1115	0.9343	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
graphpart_3g-0333-0333	108	648	0.2066	0.8064	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0005	0.9756	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.2321	0.0000	1.0000	0.0000	1.0000	0.0001	1.0000
slay05h	760	2080	0.3359	0.8961	0.0009	1.1901	0.0008	1.1497	0.0018	1.0139	0.0020	1.1682	0.0009	1.0139	0.0006	1.0122	0.0006	1.1410	0.0006	1.2101	0.0006	1.0130	0.0005	1.1444	0.0006	1.0130	0.0009	1.1886
korcns	156	712	0.3036	0.9113	0.0001	1.0000	0.0001	1.0000	0.0004	1.7176	0.0008	1.3836	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0004	1.2164	0.0001	1.0000	0.0001	1.0000	0.0003	1.3812
powerflow0118p	5065	18730	0.6348	0.9666	0.0113	2.0965	0.0112	1.9817	0.0409	1.8436	0.0531	1.8100	0.0090	1.8566	0.0087	1.7657	0.0088	1.8598	0.0093	2.1400	0.0112	2.2065	0.0072	2.0810	0.0087	2.0796	0.0212	2.8608
sfacloc2_3_80	4799	20600	0.6401	0.9580	0.0093	2.0263	0.0109	1.6460	0.0210	2.1639	0.0242	2.2680	0.0062	2.3142	0.0062	2.2288	0.0055	1.7012	0.0053	1.7073	0.0053	1.7044	0.0054	1.7044	0.0054	1.7044	0.0084	1.8659
rsyn0820m04m	6028	17372	0.5050	0.7771	0.0112	1.6602	0.0115	2.2462	0.0387	1.9996	0.0518	1.8592	0.0130	1.9389	0.0117	2.0479	0.0119	1.9994	0.0106	2.1026	0.0142	2.2314	0.0086	1.7316	0.0121	2.0274	0.0157	2.7466
hydroenergy1	1046	3024	0.2718	1.0000	0.0010	1.9661	0.0009	2.1454	0.0026	2.4024	0.0041	2.7612	0.0015	2.1870	0.0015	2.3877	0.0015	2.2755	0.0015	2.1156	0.0021	2.6362	0.0010	1.8915	0.0014	2.2420	0.0022	2.6190
maxmin	181	1440	0.1902	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0005	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.3457	0.0000	1.0000	0.0000	1.0000	0.0006	1.2347
st_ht	8	18	0.1059	0.8627	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
crudeoil_lee2_06	6418	34646	0.7818	0.7582	0.0321	2.2229	0.0321	2.0443	0.0749	2.4946	0.0797	2.8053	0.0169	1.5904	0.0154	2.0139	0.0159	1.7386	0.0155	2.2411	0.0187	1.6722	0.0146	1.7169	0.0175	1.7538	0.0225	1.7246
kan_r3_h1_n4	3183	14062	0.4596	0.9408	0.0065	1.1004	0.0066	1.0430	0.0198	2.1440	0.0259	2.1117	0.0036	1.0262	0.0028	1.0112	0.0040	1.7734	0.0039	1.7383	0.0065	2.0398	0.0033	1.1159	0.0038	1.1359	0.0079	2.1284
primary	378	5610	0.2985	0.8688	0.0016	1.3794	0.0017	1.4836	0.0028	1.2188	0.0048	1.9052	0.0006	1.3601	0.0005	1.5141	0.0006	1.7913	0.0005	1.7741	0.0008	1.2095	0.0001	1.0000	0.0006	1.5503	0.0018	2.0634
syn10m03hfsg	1071	2772	0.2892	0.9921	0.0011	1.4833	0.0011	1.6716	0.0035	1.6487	0.0040	1.4850	0.0015	1.7881	0.0013	1.6420	0.0014	1.4712	0.0014	1.5420	0.0018	1.6223	0.0007	1.3356	0.0014	1.4484	0.0019	1.8994
wastewater02m1	36	138	0.1890	0.9316	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
supplychainr1_022020	4620	15680	0.3539	0.9999	0.0083	1.6817	0.0088	1.5172	0.0197	5.2970	0.0237	8.7881	0.0063	5.0321	0.0050	2.5005	0.0056	3.5760	0.0043	2.3078	0.0072	4.5016	0.0024	1.2855	0.0059	2.8670	0.0081	5.5139
squfl025-025persp	3800	11250	0.2230	1.0000	0.0046	1.2958	0.0064	1.3139	0.0089	1.9462	0.0127	1.1524	0.0019	1.5867	0.0024	1.2350	0.0025	1.2360	0.0023	1.2599	0.0024	1.3713	0.0025	1.3713	0.0024	1.3713	0.0030	1.2358
chp_shorttermplan1a	4952	15700	0.5591	0.8017	0.0114	1.8416	0.0125	1.7701	0.0401	1.8582	0.0527	2.0172	0.0106	1.8767	0.0107	1.9777	0.0104	1.9181	0.0107	1.8055	0.0127	1.8685	0.0080	1.6495	0.0106	1.9266	0.0140	2.1253
rocket50	555	3488	0.3892	0.9641	0.0016	1.9220	0.0017	1.8049	0.0035	1.7799	0.0046	1.7790	0.0007	1.7180	0.0008	1.8254	0.0008	1.7159	0.0007	1.7956	0.0014	1.7007	0.0004	1.7293	0.0008	1.7112	0.0016	1.8580
rsyn0840m04m	8508	24272	0.6945	0.8118	0.0161	2.0847	0.0154	1.8999	0.0553	1.8782	0.0701	2.3148	0.0171	2.2618	0.0185	2.1844	0.0164	2.2886	0.0156	2.1154	0.0212	2.2469	0.0145	1.7711	0.0184	2.0416	0.0232	2.7010
mpbp_21	11716	37660	0.6519	0.8615	0.0332	3.8252	0.0328	3.8954	0.1205	4.0428	0.1454	3.7486	0.0233	3.9589	0.0232	3.7617	0.0219	4.4262	0.0219	4.5964	0.0287	5.0707	0.0216	4.6683	0.0236	3.8861	0.0294	5.0338
orth_d4m6_pl	172	1096	0.2278	0.9785	0.0001	0.9785	0.0001	0.9785	0.0005	1.2476	0.0007	1.0719	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.0216	0.0001	1.0000	0.0000	1.0000	0.0003	1.1389
kall_circlespolygons_c1p5b	1681	7432	0.4531	0.9608	0.0046	1.6919	0.0043	1.5280	0.0087	1.0602	0.0170	3.3447	0.0025	1.4673	0.0021	1.2976	0.0025	1.4543	0.0024	1.4543	0.0034	3.4981	0.0026	1.4976	0.0025	1.4976	0.0031	1.4301
ex1223	33	82	0.1751	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ex6_1_4	10	48	0.1209	0.7766	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
powerflow0014r	403	1630	0.2886	0.9628	0.0006	1.4456	0.0006	1.3829	0.0015	1.5673	0.0024	1.6094	0.0006	1.7548	0.0006	1.6358	0.0004	1.4835	0.0005	1.6107	0.0007	1.5226	0.0004	1.4376	0.0004	1.4376	0.0009	1.8534
knp5-43	2065	31132	0.2747	1.0000	0.0097	1.1240	0.0094	1.1240	0.0277	1.2599	0.0279	1.2599	0.0048	1.2180	0.0046	1.2460	0.0043	1.0863	0.0042	1.1240	0.0048	1.3614	0.0044	1.1551	0.0049	1.5795	0.0079	1.0475
tln2	32	88	0.1703	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
prob02	22	76	0.1481	0.8689	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
blend146	1422	4460	0.3258	0.8232	0.0023	2.4412	0.0023	2.3067	0.0065	2.9255	0.0080	2.7282	0.0021	2.9276	0.0024	3.1940	0.0022	3.6134	0.0019	4.4992	0.0025	2.7720	0.0021	2.8195	0.0022	2.7921	0.0030	4.2468
mpbp_46	4518	14492	0.4321	0.8970	0.0117	3.9610	0.0114	3.7090	0.0354	4.7146	0.0420	3.7096	0.0083	3.4295	0.0086	4.0708	0.0076	6.5483	0.0078	6.4263	0.0097	3.6770	0.0070	4.3075	0.0084	4.7682	0.0114	5.1894
tls6	413	2860	0.3506	0.9474	0.0009	1.7334	0.0009	1.7334	0.0017	1.7171	0.0018	1.7171	0.0006	1.3653	0.0005	1.7256	0.0006	1.2609	0.0006	1.2609	0.0006	1.2555	0.0006	1.2555	0.0006	1.2555	0.0008	1.8805
emfl100_5_5	21925	52300	0.4033	1.0000	0.1118	1.1117	0.1113	1.0920	0.1997	1.0568	0.2026	1.0568	0.0198	1.0943	0.0193	1.0568	0.0187	1.0597	0.0187	1.0568	0.0197	1.0577	0.0193	1.0577	0.0198	1.0577	0.0219	1.0568
qspp_0_11_0_1_10_1	341	44264	0.1780	0.9926	0.0138	1.6294	0.0117	1.0000	0.0186	2.0151	0.0175	2.2931	0.0061	1.6707	0.0061	1.6294	0.0035	1.7212	0.0037	0.9976	0.0061	1.6291	0.0002	1.0000	0.0000	0.9993	0.0104	2.6976
p_ball_10b_5p_4d_m	403	1484	0.2783	0.9784	0.0006	1.3032	0.0006	1.2918	0.0009	1.3487	0.0011	1.2271	0.0004	1.4414	0.0004	1.3082	0.0004	1.4339	0.0004	1.3671	0.0005	1.3774	0.0004	1.4441	0.0004	1.4441	0.0005	1.3478
st_rv9	90	840	0.2403	0.9447	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
rsyn0840m02m	3486	9576	0.4718	0.9500	0.0047	1.4407	0.0040	1.4811	0.0119	1.3988	0.0218	1.7628	0.0063	1.6776	0.0060	1.5175	0.0061	1.6448	0.0054	1.3868	0.0087	1.9286	0.0042	1.3260	0.0058	1.5750	0.0087	1.7554
nvs05	22	84	0.1570	0.9603	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
autocorr_bern25-19	28	612	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
sssd20-08persp	356	1232	0.2577	1.0000	0.0005	1.2444	0.0005	1.3079	0.0011	1.4141	0.0013	1.2933	0.0004	1.0290	0.0005	1.0290	0.0003	1.0536	0.0004	1.0536	0.0005	1.0290	0.0001	1.0000	0.0005	1.0290	0.0004	1.0290
multiplants_stg5	827	3804	0.5316	0.4153	0.0026	0.9165	0.0030	1.0973	0.0056	0.7791	0.0070	1.0388	0.0017	0.9227	0.0017	0.9750	0.0017	1.2138	0.0016	1.1001	0.0026	0.9470	0.0012	0.8328	0.0017	0.9667	0.0024	1.2433
chimera_rfr-02	2032	15140	0.6420	0.6516	0.0122	0.9699	0.0126	0.9309	0.0306	0.9579	0.0365	0.8512	0.0058	0.9552	0.0058	1.0896	0.0060	1.0605	0.0060	1.1653	0.0084	0.8392	0.0046	1.0331	0.0061	0.9154	0.0089	0.9667
multiplants_stg1a	726	3510	0.5152	0.8549	0.0021	1.3761	0.0021	1.3870	0.0047	1.1261	0.0057	1.2620	0.0014	1.6169	0.0015	1.4792	0.0011	1.9214	0.0011	1.9817	0.0018	2.1541	0.0011	1.6629	0.0014	1.9374	0.0025	2.5902
pooling_adhya4pq	170	932	0.2330	0.6843	0.0001	1.0000	0.0001	1.0000	0.0005	1.5274	0.0006	1.5274	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0005	1.4551	0.0001	1.0000	0.0000	1.0000	0.0004	0.9927
sonet24v5	874	7260	0.5416	0.5940	0.0029	0.7095	0.0029	0.7065	0.0040	0.7207	0.0047	0.6489	0.0009	0.7201	0.0008	0.7165	0.0010	0.6651	0.0011	0.7998	0.0009	0.7232	0.0007	0.7240	0.0007	0.7240	0.0016	0.6519
chp_shorttermplan2a	8992	26288	0.5152	0.7035	0.0201	1.5400	0.0203	1.2959	0.0706	1.8403	0.0909	2.0899	0.0187	1.9115	0.0188	1.8406	0.0184	1.8722	0.0178	1.9213	0.0212	1.8074	0.0163	1.6887	0.0185	1.8815	0.0251	1.7477
catmix200	1001	5592	0.2245	0.9995	0.0012	1.8118	0.0011	1.8347	0.0022	1.9537	0.0029	1.9698	0.0010	1.8404	0.0010	1.8290	0.0010	1.8290	0.0010	1.8404	0.0018	1.9527	0.0005	1.5717	0.0010	1.8290	0.0020	1.9560
nvs23	27	252	0.0000	0.6356	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
oaer	20	40	0.1370	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
hybriddynamic_fixed	168	388	0.1930	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.1442	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0001	1.1868	0.0000	1.0000	0.0000	1.0000	0.0002	1.1677
space25	1178	4334	0.3120	0.9559	0.0019	3.2322	0.0019	3.6083	0.0067	4.4575	0.0077	3.7146	0.0011	3.4556	0.0011	3.6285	0.0010	2.5377	0.0010	3.5579	0.0013	4.0085	0.0009	1.9006	0.0011	3.1344	0.0030	2.0241
pooling_foulds5tp	1218	8364	0.5217	0.6828	0.0049	3.3258	0.0054	3.7914	0.0109	2.5409	0.0111	2.1785	0.0025	1.8456	0.0033	1.0362	0.0027	1.6152	0.0024	1.6671	0.0029	1.5759	0.0019	1.1732	0.0027	1.4956	0.0047	1.1025
st_miqp2	10	18	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
autocorr_bern30-23	33	878	0.0000	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
mpbp_15	9858	31692	0.7680	0.8001	0.0305	3.6973	0.0272	2.6462	0.0995	3.7895	0.1235	3.6129	0.0210	3.3420	0.0206	2.7661	0.0191	3.3741	0.0207	3.6027	0.0275	3.0616	0.0197	3.1659	0.0229	3.2182	0.0308	3.8658
cvxnonsep_psig30r	126	250	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.3094	0.0000	1.0000	0.0000	1.0000	0.0002	1.3094
rsyn0830hfsg	1590	4100	0.4923	0.9514	0.0020	1.4979	0.0019	1.2929	0.0046	1.2543	0.0069	1.3157	0.0022	1.2743	0.0026	1.1706	0.0028	1.2767	0.0022	1.2635	0.0038	1.7488	0.0016	1.2867	0.0026	1.2691	0.0034	1.5954
crudeoil_pooling_ct1	1271	4642	0.5523	0.7501	0.0033	2.0759	0.0034	3.6309	0.0081	2.5062	0.0100	2.1402	0.0029	2.0469	0.0028	2.0079	0.0028	2.0636	0.0027	1.9931	0.0032	2.4241	0.0018	1.8125	0.0023	1.8543	0.0040	2.0723
multiplants_stg1c	800	3894	0.5734	0.9532	0.0023	1.5968	0.0024	1.4558	0.0062	1.4467	0.0075	1.3819	0.0016	1.6252	0.0015	1.2981	0.0016	1.4753	0.0014	1.5344	0.0024	1.6377	0.0012	1.5893	0.0017	1.4577	0.0027	1.3444
st_pan1	11	32	0.1227	0.7642	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
multiplants_stg1b	814	3992	0.5963	0.6079	0.0026	2.0752	0.0026	2.3731	0.0061	2.5525	0.0065	2.5447	0.0016	2.1731	0.0017	1.6044	0.0015	2.5698	0.0016	2.6119	0.0022	2.6475	0.0013	1.6094	0.0016	1.9627	0.0026	1.6302
emfl050_5_5	13175	32300	0.2781	1.0000	0.0462	1.0811	0.0459	1.0811	0.0755	1.0811	0.0763	1.0811	0.0094	1.0811	0.0094	1.0811	0.0094	1.0837	0.0096	1.1364	0.0094	1.0811	0.0092	1.0811	0.0093	1.0811	0.0115	1.0811
chimera_lga-01	1120	6400	0.5696	0.7448	0.0056	1.3940	0.0056	1.7473	0.0123	1.3594	0.0169	1.1548	0.0032	1.2424	0.0030	1.2846	0.0030	1.1835	0.0030	1.3243	0.0043	1.0455	0.0021	1.1777	0.0031	1.0918	0.0015	1.0000
gasprod_sarawak16	4596	15316	0.7297	0.9168	0.0100	5.5992	0.0099	4.6248	0.0330	8.8366	0.0330	3.4459	0.0056	2.3588	0.0048	3.7920	0.0048	3.5317	0.0048	3.6027	0.0075	1.7287	0.0024	1.5632	0.0044	1.6521	0.0086	4.3229
st_m1	42	432	0.1648	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
mpbp_47	5310	17098	0.7043	0.8927	0.0150	5.0805	0.0149	4.8626	0.0468	4.6222	0.0534	4.6768	0.0105	4.5769	0.0107	4.2923	0.0094	5.4814	0.0094	6.7403	0.0126	4.8716	0.0091	3.7128	0.0102	4.2528	0.0126	3.9401
rsyn0815m	821	2242	0.4765	0.9377	0.0007	1.1097	0.0007	1.1249	0.0018	1.2990	0.0030	1.2369	0.0011	1.1849	0.0010	1.2005	0.0011	1.2673	0.0010	1.2673	0.0015	1.2747	0.0008	1.1225	0.0012	1.2140	0.0015	1.5634
arki0016	7993	37208	0.9292	0.9512	0.0493	4.1177	0.0604	5.6170	0.1498	5.4133	0.1739	3.3147	0.0152	3.1132	0.0172	2.6782	0.0163	3.2577	0.0142	3.6303	0.0187	3.8336	0.0134	2.5981	0.0144	2.5687	0.0297	11.3588
st_glmp_ss2	18	48	0.1613	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
rsyn0810m02hfsg	2670	6964	0.6854	0.9428	0.0031	1.1909	0.0032	1.2738	0.0092	1.4197	0.0154	1.5803	0.0048	1.5356	0.0039	1.5967	0.0044	1.6432	0.0040	1.9180	0.0062	1.7337	0.0030	1.5707	0.0044	1.5519	0.0072	2.2882
pointpack06	55	276	0.1630	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
syn40m04hfsg	6328	16896	0.3634	0.9691	0.0118	2.3331	0.0109	2.3241	0.0339	2.2114	0.0424	2.3359	0.0117	2.3410	0.0107	2.4156	0.0109	2.9353	0.0107	2.4432	0.0142	3.1928	0.0095	2.4409	0.0121	2.5167	0.0160	3.4651
clay0304m	258	840	0.2441	1.0000	0.0001	1.0000	0.0001	1.0000	0.0005	1.1871	0.0006	1.1871	0.0003	1.1926	0.0003	1.1926	0.0003	1.1794	0.0003	1.1794	0.0003	1.1926	0.0000	1.0000	0.0003	1.1926	0.0003	1.2389
pooling_foulds5pq	1218	8300	0.4256	1.0000	0.0047	3.2695	0.0045	3.3060	0.0117	4.3240	0.0126	4.4139	0.0032	2.9969	0.0027	3.5965	0.0027	3.2377	0.0028	3.1372	0.0030	3.2831	0.0019	2.3395	0.0028	3.1795	0.0047	3.4379
clay0305hfsg	1000	2910	0.4297	0.9168	0.0010	1.2029	0.0010	1.0526	0.0022	1.0526	0.0025	1.0526	0.0007	1.0338	0.0006	1.0338	0.0005	1.0338	0.0005	1.0338	0.0006	1.0338	0.0006	1.0338	0.0006	1.0338	0.0009	1.0345
st_test8	64	232	0.2081	0.8382	0.0000	0.9680	0.0000	0.9680	0.0000	0.9680	0.0000	0.9680	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
sporttournament08	31	156	0.1795	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
powerflow0030p	1121	4194	0.3458	0.9478	0.0018	1.3459	0.0017	1.5500	0.0060	1.4126	0.0071	1.3333	0.0016	1.5239	0.0017	1.3619	0.0015	1.4720	0.0014	1.3374	0.0020	1.3784	0.0012	1.3399	0.0016	1.2725	0.0022	1.5758
mpbp_35	11120	40790	0.7449	0.3219	0.0234	0.6409	0.0227	0.6145	0.0856	0.4688	0.1298	0.5041	0.0216	0.6374	0.0207	0.5873	0.0196	0.6249	0.0204	0.6620	0.0273	0.6701	0.0153	0.6126	0.0308	0.5879	0.0373	0.7877
syn30m02m	1492	3936	0.4635	0.9784	0.0014	1.4407	0.0014	1.3481	0.0041	1.4376	0.0064	1.8794	0.0021	1.5866	0.0023	1.5013	0.0018	1.6966	0.0020	1.5352	0.0031	1.9052	0.0010	1.4281	0.0023	1.8653	0.0030	1.7576
wastewater13m1	481	3252	0.3482	0.9989	0.0014	1.4293	0.0013	2.4069	0.0042	1.4996	0.0045	1.4996	0.0009	1.1991	0.0010	1.8400	0.0008	1.0830	0.0008	1.1339	0.0009	1.0985	0.0009	1.0985	0.0009	1.0985	0.0013	1.1162
syn40hfsg	1022	2624	0.3205	0.9671	0.0011	1.3529	0.0010	1.1551	0.0023	1.3336	0.0040	1.4005	0.0015	1.2729	0.0012	1.3444	0.0014	1.3949	0.0014	1.4358	0.0020	1.4600	0.0010	1.1779	0.0015	1.3915	0.0020	1.5374
sep1	69	206	0.1944	0.9544	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
syn30m03m	2508	6804	0.4668	0.9905	0.0040	1.8808	0.0040	2.0115	0.0094	2.3123	0.0143	2.1002	0.0048	2.4344	0.0045	2.2586	0.0042	3.2386	0.0042	2.0837	0.0062	2.4357	0.0035	1.8000	0.0045	2.0453	0.0066	3.6216
st_qpc-m3a	30	304	0.0000	0.6755	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
crudeoil_pooling_ct3	2644	11426	0.7701	0.6296	0.0099	1.0819	0.0099	1.9213	0.0275	1.5342	0.0311	1.3881	0.0066	1.5509	0.0064	1.5488	0.0058	1.5930	0.0063	1.4165	0.0079	1.3490	0.0048	1.3705	0.0065	1.6446	0.0088	1.5690
space25a	634	3246	0.3931	0.9586	0.0013	2.8683	0.0012	2.5289	0.0037	3.2042	0.0049	2.6381	0.0007	2.0453	0.0007	2.6851	0.0007	3.7903	0.0007	3.2107	0.0008	3.3123	0.0005	1.8078	0.0007	2.9484	0.0071	2.5074
autocorr_bern20-15	23	394	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ex7_2_1	35	134	0.1843	0.9688	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
