probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
sfacloc2_4_90	1491	4500	0.3201	0.9104	0.0019	1.7153	0.0019	1.7524	0.0044	1.7779	0.0056	1.6401	0.0011	1.5619	0.0011	1.7109	0.0015	2.8477	0.0022	3.6859	0.0010	1.4849	0.0010	1.4849	0.0010	1.4849	0.0009	1.0000
glider400	10017	49624	0.3582	0.8781	0.0799	1.6037	0.0697	1.5961	0.1555	1.6714	0.1670	1.9679	0.0240	1.5007	0.0242	1.5037	0.0236	1.5133	0.0236	1.6491	0.0317	1.6620	0.0136	1.5368	0.0241	1.4908	0.0366	1.9723
syn40m04m	4960	13792	0.5453	0.9591	0.0085	3.1505	0.0082	2.6881	0.0254	2.9044	0.0338	2.9961	0.0089	3.5736	0.0092	3.0050	0.0086	3.2455	0.0088	3.6890	0.0111	3.0011	0.0074	2.3384	0.0092	3.1123	0.0117	4.4552
ex2_1_3	31	72	0.1637	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
himmel11	14	60	0.1110	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
syn15m04m	1908	5288	0.3634	0.9652	0.0027	2.6314	0.0027	2.6181	0.0090	2.9061	0.0112	2.9802	0.0028	3.0932	0.0033	2.7497	0.0032	2.6506	0.0028	2.5757	0.0039	2.7652	0.0019	2.4426	0.0031	2.7724	0.0040	2.9295
pooling_rt2tp	118	654	0.2702	0.9864	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0005	2.6174	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	2.6670	0.0000	1.0000	0.0000	1.0000	0.0001	1.0000
waterund14	333	2204	0.2969	0.3600	0.0002	1.0093	0.0002	1.0093	0.0012	0.4631	0.0017	0.4113	0.0005	0.4157	0.0005	0.5871	0.0005	0.5225	0.0005	0.5225	0.0009	0.5207	0.0001	1.0000	0.0005	0.5225	0.0006	0.4406
pooling_foulds4pq	1294	8302	0.4040	0.9989	0.0038	1.9624	0.0042	2.4442	0.0150	3.8310	0.0097	2.1777	0.0015	1.7381	0.0022	1.1879	0.0020	1.1839	0.0018	1.6981	0.0033	2.6742	0.0017	1.1770	0.0020	1.1839	0.0043	2.5387
edgecross14-156	3097	19664	0.3169	0.9254	0.0088	1.4083	0.0086	1.4068	0.0212	1.6621	0.0204	1.6865	0.0048	1.3631	0.0047	1.3893	0.0049	1.3718	0.0051	1.3718	0.0048	1.3991	0.0048	1.3991	0.0048	1.3991	0.0080	1.3893
