name	n	nnz	amd	control_flops	final_flops	elapsed
korcns	156	712	7241	6599	6599	0.306283
powerflow0118p	5065	18730	121503	117327	117327	0.530787
sfacloc2_3_80	4799	20600	84672	81119	81119	0.567420
rsyn0820m04m	6028	17372	196890	152980	152980	0.432416
hydroenergy1	1046	3024	14089	14089	14089	0.238694
maxmin	181	1440	8405	8405	8405	0.205620
st_ht	8	18	51	44	44	0.105759
crudeoil_lee2_06	6418	34646	23299675	16292510	16292510	0.653181
kan_r3_h1_n4	3183	14062	104945	98715	98715	0.378119
primary	378	5610	109639	95258	95258	0.265094
syn10m03hfsg	1071	2772	9890	9812	9812	0.259901
wastewater02m1	36	138	848	790	790	0.211897
supplychainr1_022020	4620	15680	273140	273100	273100	0.332685
squfl025-025persp	3800	11250	49925	49925	49925	0.216238
ringpack_30_2	17999	121458	12394600	2873684	2873684	0.594949
nuclear104	39098	257806	103156931	78332024	78332024	0.730554
chp_shorttermplan1a	4952	15700	376486	299825	299825	0.484882
rocket50	555	3488	19983	19265	19265	0.388786
rsyn0840m04m	8508	24272	229914	185120	185120	0.554692
mpbp_21	11716	37660	1691114	1456963	1456963	0.493931
orth_d4m6_pl	172	1096	10938	10703	10703	0.232457
kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	0.372350
acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	0.349589
ex1223	33	82	244	244	244	0.158672
ex6_1_4	10	48	197	153	153	0.151965
powerflow0014r	403	1630	10761	10361	10361	0.294617
knp5-43	2065	31132	3517788	3517788	3517788	0.215641
gabriel09	21688	89702	29373994	26366112	26366112	0.535158
tln2	32	88	233	233	233	0.150294
prob02	22	76	267	232	232	0.176585
blend146	1422	4460	78102	64296	64296	0.313789
mpbp_46	4518	14492	499547	447603	447603	0.408808
tls6	413	2860	18483	17511	17511	0.331657
emfl100_5_5	21925	52300	221650	221650	221650	0.312839
qspp_0_11_0_1_10_1	341	44264	3563707	3531915	3531915	0.142769
p_ball_10b_5p_4d_m	403	1484	13581	13288	13288	0.271882
st_rv9	90	840	6691	6321	6321	0.245371
rsyn0840m02m	3486	9576	47529	44981	44981	0.379331
nvs05	22	84	277	266	266	0.177818
autocorr_bern25-19	28	612	5278	5278	5278	0.000005
sssd20-08persp	356	1232	4960	4960	4960	0.283276
multiplants_stg5	827	3804	377794	155722	155722	0.461720
chimera_rfr-02	2032	15140	3860441	2487302	2487302	0.505181
multiplants_stg1a	726	3510	142058	121443	121443	0.452226
