name	n	nnz	amd	control_flops	joint_flops	elapsed
clay0304m	258	840	2742	2742	2742	0.254522
pooling_foulds5pq	1218	8300	159641	159641	159641	0.337975
clay0305hfsg	1000	2910	12260	11240	11240	0.354723
st_test8	64	232	2343	1964	1964	0.239017
gams05	17364	252910	6179750712	3259322396	3259322396	0.672086
sporttournament08	31	156	862	862	862	0.193639
powerflow0030p	1121	4194	24944	23642	23642	0.320556
popdynm200	22407	105584	2567878	2436690	2436690	0.600545
mpbp_35	11120	40790	3037207	975441	975441	0.553141
syn30m02m	1492	3936	13752	13455	13455	0.344365
wastewater13m1	481	3252	60135	60068	60068	0.296670
syn40hfsg	1022	2624	8432	8155	8155	0.277655
sep1	69	206	1097	1047	1047	0.169801
syn30m03m	2508	6804	26806	26552	26552	0.373802
st_qpc-m3a	30	304	2330	1574	1574	0.000004
crudeoil_pooling_ct3	2644	11426	1381490	866197	866197	0.563928
space25a	634	3246	29078	27875	27875	0.356883
autocorr_bern20-15	23	394	2784	2784	2784	0.000004
ex7_2_1	35	134	352	341	341	0.198460
hydroenergy2	2092	6236	69051	56014	56014	0.501597
pooling_digabel19	514	5340	325989	274903	274903	0.320192
clay0203m	132	420	1348	1348	1348	0.255882
squfl030-150	13680	36000	252605	252605	252605	0.279455
