tag	matrix	n	input_nnz	amd_flops	control_flops	extended_flops	seconds
BATCH_RUNTIME_ROW	sonet21v6	8232	40744	1643311	1585871	1585871	0.372325
BATCH_RUNTIME_ROW	squfl010-080	2490	6400	27665	27665	27665	0.284405
BATCH_RUNTIME_ROW	genpooling_lee2	221	1048	19895	14028	14028	0.261703
BATCH_RUNTIME_ROW	popdynm25	2807	13904	360081	286812	286812	0.500985
BATCH_RUNTIME_ROW	chp_partload	5211	16740	509170	373797	373134	0.622121
BATCH_RUNTIME_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	16038266	0.212782
BATCH_RUNTIME_ROW	st_glmp_ss1	24	66	160	160	160	0.131388
BATCH_RUNTIME_ROW	torsion50	2508	29808	1691033	1119054	1119054	0.385384
BATCH_RUNTIME_ROW	st_rv2	40	340	2045	2045	2045	0.204040
BATCH_RUNTIME_ROW	emfl100_3_3	6885	15948	55506	55506	55506	0.222407
BATCH_RUNTIME_ROW	pedigree_sim400	351	23546	1183471	1183168	1183168	0.000079
BATCH_RUNTIME_ROW	polygon75	5846	49652	1171822	1171822	1171822	0.000204
BATCH_RUNTIME_ROW	gabriel10	244056	1148210	1365442310	1267760679	1267760679	0.412280
BATCH_RUNTIME_ROW	fo9_ar25_1	1049	4336	41668	38237	38237	0.273705
BATCH_RUNTIME_ROW	rsyn0840m	1159	3168	11274	10602	10602	0.299067
BATCH_RUNTIME_ROW	gancns	548	2800	69234	58861	58861	0.373400
BATCH_RUNTIME_ROW	o9_ar4_1	1049	4336	41668	38237	38237	0.269808
BATCH_RUNTIME_ROW	ex1265a	123	560	3948	3750	3750	0.303115
BATCH_RUNTIME_ROW	ex9_2_6	28	68	190	190	190	0.145953
BATCH_RUNTIME_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	10097446	0.168719
BATCH_RUNTIME_ROW	slay04m	146	432	1554	1554	1554	0.220042
BATCH_RUNTIME_ROW	st_e25	20	92	336	262	262	0.000002
BATCH_RUNTIME_ROW	ex8_4_1	32	100	225	225	225	0.208677
BATCH_RUNTIME_ROW	st_e07	19	60	199	199	199	0.183636
BATCH_RUNTIME_ROW	ex1225	26	66	171	161	161	0.143558
BATCH_RUNTIME_ROW	ndcc13	969	5882	525212	324727	324727	0.442610
BATCH_RUNTIME_ROW	syn10m04m	1224	3384	13501	13473	13473	0.263924
BATCH_RUNTIME_ROW	ex5_2_4	18	62	204	193	193	0.173487
BATCH_RUNTIME_ROW	st_m2	72	1226	16331	16331	16331	0.211489
BATCH_RUNTIME_ROW	st_bpk1	16	44	115	108	108	0.126906
BATCH_RUNTIME_ROW	multiplants_stg1	736	3594	197998	155496	155496	0.460531
BATCH_RUNTIME_ROW	powerflow0300p	11251	41918	304705	292049	292256	0.585619
BATCH_RUNTIME_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	885186	0.407681
BATCH_RUNTIME_ROW	sonet23v4	803	6462	139703	94348	94348	0.433804
BATCH_RUNTIME_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	1214182	0.348831
BATCH_RUNTIME_ROW	multiplants_mtg1b	645	4404	229415	152043	152043	0.457380
BATCH_RUNTIME_ROW	sssd18-08persp	338	1168	4654	4654	4654	0.286341
BATCH_RUNTIME_ROW	ex9_1_2	19	54	188	179	179	0.140748
BATCH_RUNTIME_ROW	crudeoil_lee1_07	3670	19322	4746188	3512781	3506452	0.612615
BATCH_RUNTIME_ROW	pooling_haverly1tp	31	96	423	403	403	0.193214
BATCH_RUNTIME_ROW	waterund08	230	1290	35284	30110	30110	0.234887
BATCH_RUNTIME_ROW	kall_diffcircles_6	76	302	1511	1511	1511	0.192665
BATCH_RUNTIME_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	80090	0.393270
BATCH_RUNTIME_ROW	waterund11	160	828	14818	10705	10705	0.280031
BATCH_RUNTIME_ROW	chp_shorttermplan2d	16364	52108	4089003	1997381	1997381	0.548214
BATCH_RUNTIME_ROW	sporttournament18	156	886	17568	13608	13608	0.321367
BATCH_RUNTIME_ROW	cvxnonsep_psig30	30	870	9455	9455	9455	0.000004
BATCH_RUNTIME_ROW	ringpack_20_2	6089	40368	1872174	707413	707413	0.347440
BATCH_RUNTIME_ROW	blend718	1386	4310	70355	61466	61466	0.318538
BATCH_RUNTIME_ROW	wastepaper4	115	724	9711	7183	7183	0.293614
BATCH_RUNTIME_ROW	squfl010-040persp	2450	7200	22825	22825	22825	0.281296
BATCH_RUNTIME_ROW	crudeoil_lee4_06	10429	55492	65337120	32701225	32474991	0.727645
BATCH_RUNTIME_ROW	netmod_kar1	1746	4928	56838	43864	43864	0.443332
BATCH_RUNTIME_ROW	ex8_1_7	14	46	137	128	128	0.149014
BATCH_RUNTIME_ROW	graphpart_3g-0333-0333	108	648	44928	36228	36228	0.211102
BATCH_RUNTIME_ROW	slay05h	760	2080	9815	8795	8795	0.297503
BATCH_RUNTIME_ROW	korcns	156	712	7241	6599	6599	0.313727
BATCH_RUNTIME_ROW	powerflow0118p	5065	18730	121503	117327	117327	0.542391
BATCH_RUNTIME_ROW	sfacloc2_3_80	4799	20600	84672	81119	81119	0.585646
BATCH_RUNTIME_ROW	rsyn0820m04m	6028	17372	196890	152980	152980	0.446161
BATCH_RUNTIME_ROW	hydroenergy1	1046	3024	14089	14089	14089	0.246103
BATCH_RUNTIME_ROW	maxmin	181	1440	8405	8405	8405	0.208323
BATCH_RUNTIME_ROW	st_ht	8	18	51	44	44	0.107114
BATCH_RUNTIME_ROW	crudeoil_lee2_06	6418	34646	23299675	16449263	16066186	0.683542
BATCH_RUNTIME_ROW	kan_r3_h1_n4	3183	14062	104945	98715	98715	0.387726
BATCH_RUNTIME_ROW	primary	378	5610	109639	95258	95258	0.270346
BATCH_RUNTIME_ROW	syn10m03hfsg	1071	2772	9890	9812	9812	0.268942
BATCH_RUNTIME_ROW	wastewater02m1	36	138	848	790	790	0.215672
BATCH_RUNTIME_ROW	supplychainr1_022020	4620	15680	273140	273100	273100	0.342455
BATCH_RUNTIME_ROW	squfl025-025persp	3800	11250	49925	49925	49925	0.219097
BATCH_RUNTIME_ROW	ringpack_30_2	17999	121458	12394600	2873684	2873684	0.616991
BATCH_RUNTIME_ROW	nuclear104	39098	257806	103156931	78321564	78321564	0.797539
BATCH_RUNTIME_ROW	chp_shorttermplan1a	4952	15700	376486	301258	299825	0.499852
BATCH_RUNTIME_ROW	rocket50	555	3488	19983	19265	19265	0.396204
BATCH_RUNTIME_ROW	rsyn0840m04m	8508	24272	229914	186241	185120	0.577458
BATCH_RUNTIME_ROW	mpbp_21	11716	37660	1691114	1456963	1456963	0.551723
BATCH_RUNTIME_ROW	orth_d4m6_pl	172	1096	10938	10703	10703	0.238077
BATCH_RUNTIME_ROW	kall_circlespolygons_c1p5b	1681	7432	201759	193841	193841	0.380018
BATCH_RUNTIME_ROW	acopf_case9241pegase_qcqp	313068	1292408	34647355	33736789	33736789	0.341592
BATCH_RUNTIME_ROW	ex1223	33	82	244	244	244	0.164006
BATCH_RUNTIME_ROW	ex6_1_4	10	48	197	153	153	0.154307
BATCH_RUNTIME_ROW	powerflow0014r	403	1630	10761	10361	10361	0.302657
BATCH_RUNTIME_ROW	knp5-43	2065	31132	3517788	3517788	3517788	0.219564
BATCH_RUNTIME_ROW	gabriel09	21688	89702	29373994	26366112	26366112	0.546666
BATCH_RUNTIME_ROW	tln2	32	88	233	233	233	0.153669
BATCH_RUNTIME_ROW	prob02	22	76	267	232	232	0.178125
