tag	matrix	n	input_nnz	amd_flops	base_flops	base_factor_nnz	selected_flops	seconds	accepted_state_flags
SELECTED_ORIGINAL_ROW	syn15m04m	1908	5288	26094	25061	5853	25061	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_rt2tp	118	654	5876	5796	708	5796	0.000000	0
SELECTED_ORIGINAL_ROW	waterund14	333	2204	200484	72184	3330	72184	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_lee4_10	17809	120632	294531623	176348241	679883	174752490	0.035314	3
SELECTED_ORIGINAL_ROW	pooling_foulds4pq	1294	8302	138692	138540	9768	138540	0.000000	0
SELECTED_ORIGINAL_ROW	edgecross14-156	3097	19664	1487933	1376964	22658	1376964	0.000000	0
SELECTED_ORIGINAL_ROW	tspn08	72	668	11074	7600	602	7600	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_li05	4225	14628	680022	533531	25833	533531	0.000000	0
SELECTED_ORIGINAL_ROW	procurement1large	14416	41068	13858240	7372274	108944	7372274	0.004629	3
SELECTED_ORIGINAL_ROW	blend721	1428	4548	77560	66143	6157	66143	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_selby-c16-02	2031	10878	4280329	2298651	48833	2298651	0.000000	0
SELECTED_ORIGINAL_ROW	supplychainr1_053050	16640	57800	2173490	2173490	77190	2173490	0.000000	0
SELECTED_ORIGINAL_ROW	sfacloc2_4_80	5067	21424	93048	88884	17868	88884	0.000000	0
SELECTED_ORIGINAL_ROW	st_e24	10	26	64	57	23	57	0.000000	0
SELECTED_ORIGINAL_ROW	edgecross10-040	1053	5116	161851	143518	6034	143518	0.000000	0
SELECTED_ORIGINAL_ROW	sonet21v6	8232	40744	1643311	1585871	40593	1585871	0.000000	0
SELECTED_ORIGINAL_ROW	squfl010-080	2490	6400	27665	27665	7335	27665	0.000000	0
SELECTED_ORIGINAL_ROW	genpooling_lee2	221	1048	19895	14028	1302	14028	0.000000	0
SELECTED_ORIGINAL_ROW	popdynm25	2807	13904	360081	286812	22528	286812	0.000000	0
SELECTED_ORIGINAL_ROW	chp_partload	5211	16740	509170	373134	28196	373134	0.000000	0
SELECTED_ORIGINAL_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	67194	16038266	0.000000	0
SELECTED_ORIGINAL_ROW	st_glmp_ss1	24	66	160	160	60	160	0.000000	0
SELECTED_ORIGINAL_ROW	torsion50	2508	29808	1691033	1119054	42300	1119054	0.000000	0
SELECTED_ORIGINAL_ROW	st_rv2	40	340	2045	2045	255	2045	0.000000	0
SELECTED_ORIGINAL_ROW	emfl100_3_3	6885	15948	55506	55506	18972	55506	0.000000	0
SELECTED_ORIGINAL_ROW	pedigree_sim400	351	23546	1183471	1183168	12124	1183168	0.000000	0
SELECTED_ORIGINAL_ROW	polygon75	5846	49652	1171822	1171822	30672	1171822	0.000000	0
SELECTED_ORIGINAL_ROW	gabriel10	244056	1148210	1365442310	1267760679	4735821	1267760679	0.000000	0
SELECTED_ORIGINAL_ROW	fo9_ar25_1	1049	4336	41668	38237	4747	38237	0.000002	0
SELECTED_ORIGINAL_ROW	rsyn0840m	1159	3168	11274	10602	3316	10602	0.000000	0
SELECTED_ORIGINAL_ROW	gancns	548	2800	69234	58861	4041	58861	0.000000	0
SELECTED_ORIGINAL_ROW	o9_ar4_1	1049	4336	41668	38237	4747	38237	0.000000	0
SELECTED_ORIGINAL_ROW	ex1265a	123	560	3948	3750	588	3750	0.000000	0
SELECTED_ORIGINAL_ROW	ex9_2_6	28	68	190	190	70	190	0.000000	0
SELECTED_ORIGINAL_ROW	qspp_0_13_0_1_10_1	481	88522	10150185	10097446	49486	10097446	0.000000	0
SELECTED_ORIGINAL_ROW	slay04m	146	432	1554	1554	450	1554	0.000000	0
SELECTED_ORIGINAL_ROW	st_e25	20	92	336	262	66	262	0.000000	0
SELECTED_ORIGINAL_ROW	ex8_4_1	32	100	225	225	83	225	0.000000	0
SELECTED_ORIGINAL_ROW	st_e07	19	60	199	199	59	199	0.000000	0
SELECTED_ORIGINAL_ROW	ex1225	26	66	171	161	63	161	0.000000	0
SELECTED_ORIGINAL_ROW	ndcc13	969	5882	525212	324727	12325	324727	0.000000	0
SELECTED_ORIGINAL_ROW	syn10m04m	1224	3384	13501	13473	3639	13473	0.000000	0
SELECTED_ORIGINAL_ROW	ex5_2_4	18	62	204	193	55	193	0.000000	0
SELECTED_ORIGINAL_ROW	st_m2	72	1226	16331	16331	895	16331	0.000000	0
SELECTED_ORIGINAL_ROW	st_bpk1	16	44	115	108	40	108	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_stg1	736	3594	197998	155496	6926	155496	0.000000	0
SELECTED_ORIGINAL_ROW	powerflow0300p	11251	41918	304705	292256	45418	292256	0.000000	0
SELECTED_ORIGINAL_ROW	nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186	101542	885186	0.000000	0
SELECTED_ORIGINAL_ROW	sonet23v4	803	6462	139703	94348	6246	94348	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_sppa0pq	1649	24192	3745896	1214182	31968	1214182	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_mtg1b	645	4404	229415	152043	6901	152043	0.000000	0
SELECTED_ORIGINAL_ROW	sssd18-08persp	338	1168	4654	4654	1142	4654	0.000000	0
SELECTED_ORIGINAL_ROW	ex9_1_2	19	54	188	179	57	179	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_lee1_07	3670	19322	4746188	3506452	52882	3506452	0.001608	1
SELECTED_ORIGINAL_ROW	pooling_haverly1tp	31	96	423	403	105	403	0.000000	0
SELECTED_ORIGINAL_ROW	waterund08	230	1290	35284	30110	1770	30110	0.000000	0
SELECTED_ORIGINAL_ROW	kall_diffcircles_6	76	302	1511	1511	281	1511	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_mgw-c8-439-onc8-001	440	3040	106479	80090	5060	80090	0.000000	0
SELECTED_ORIGINAL_ROW	waterund11	160	828	14818	10705	989	10705	0.000000	0
SELECTED_ORIGINAL_ROW	chp_shorttermplan2d	16364	52108	4089003	1997381	81473	1997381	0.000000	0
SELECTED_ORIGINAL_ROW	sporttournament18	156	886	17568	13608	1328	13608	0.000000	0
SELECTED_ORIGINAL_ROW	cvxnonsep_psig30	30	870	9455	9455	465	9455	0.000000	0
SELECTED_ORIGINAL_ROW	ringpack_20_2	6089	40368	1872174	707413	36329	707413	0.000000	0
SELECTED_ORIGINAL_ROW	blend718	1386	4310	70355	61466	5842	61466	0.000000	0
SELECTED_ORIGINAL_ROW	wastepaper4	115	724	9711	7183	807	7183	0.000000	0
SELECTED_ORIGINAL_ROW	squfl010-040persp	2450	7200	22825	22825	6895	22825	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_lee4_06	10429	55492	65337120	32474991	233773	32467193	0.015617	3
SELECTED_ORIGINAL_ROW	netmod_kar1	1746	4928	56838	43864	6364	43864	0.000000	0
SELECTED_ORIGINAL_ROW	ex8_1_7	14	46	137	128	40	128	0.000000	0
